Hours
4.5
22.0
7.0
14.5
9.0
9.0
3.5
8.0
11.0
7.5
18.0
20.0
7.5
9.0
10.5
15.0
19.0
2.5
5.0
9.0
8.5
14.0
20.0
8.0
