Frame, SubFrame, COPx(mm), COPy(mm)
1,0,-25.118,212.13
1,1,-25.829,211.47
1,2,-25.989,212.61
1,3,-25.635,212.06
1,4,-25.119,213.58
2,0,-26.582,210.3
2,1,-25.839,214.84
2,2,-25.724,211.46
2,3,-25.072,212.91
2,4,-28.284,210.97
3,0,-25.632,213.77
3,1,-26.473,211.37
3,2,-26.7,213.41
3,3,-26.67,211.06
3,4,-26.096,212.73
4,0,-25.758,210.38
4,1,-26.626,212.52
4,2,-27.144,211.65
4,3,-25.376,213
4,4,-25.707,209.4
5,0,-26.616,211.34
5,1,-27.992,209.61
5,2,-25.479,211.17
5,3,-25.097,211.16
5,4,-26.256,211.14
6,0,-25.437,211.45
6,1,-25.941,212.33
6,2,-26.931,210.57
6,3,-25.159,213.52
6,4,-25.645,211.86
7,0,-26.702,211.27
7,1,-26.856,211.34
7,2,-26.737,210.77
7,3,-25.321,211.17
7,4,-26.065,211.46
8,0,-26.076,211.26
8,1,-25.243,212.72
8,2,-27.143,210.7
8,3,-26.949,211.63
8,4,-25.762,211.54
9,0,-27.042,211.19
9,1,-25.392,211.28
9,2,-27.647,212.16
9,3,-26.343,211.54
9,4,-25.599,213.03
10,0,-25.556,212.13
10,1,-25.727,213.27
10,2,-26.194,211.19
10,3,-26.868,211.94
10,4,-26.824,212.21
11,0,-25.22,213.67
11,1,-24.561,210.96
11,2,-26.667,211.95
11,3,-25.922,213.96
11,4,-25.587,214.07
12,0,-25.281,211.07
12,1,-24.919,212.52
12,2,-26.631,212.16
12,3,-25.652,212.64
12,4,-27.047,209.11
13,0,-26.725,212.31
13,1,-25.217,213.89
13,2,-25.355,211.15
13,3,-25.083,211.16
13,4,-26.16,213.01
14,0,-25.509,212.22
14,1,-25.221,212.72
14,2,-26.763,210.28
14,3,-25.216,212.61
14,4,-26.54,211.85
15,0,-27.273,210.77
15,1,-24.748,211.45
15,2,-27.442,213.01
15,3,-24.427,211.84
15,4,-25.371,213.11
16,0,-26.322,211.56
16,1,-25.794,212.32
16,2,-26.303,212.05
16,3,-25.378,211.45
16,4,-25.771,212.94
17,0,-27.184,211.84
17,1,-26.192,211.83
17,2,-27.17,214.27
17,3,-24.471,212.52
17,4,-25.6,212.63
18,0,-25.843,212.32
18,1,-26.527,212.82
18,2,-25.979,211.95
18,3,-26.235,212.24
18,4,-25.491,212.31
19,0,-26.637,211.75
19,1,-24.447,212.34
19,2,-26.651,211.74
19,3,-24.348,214.06
19,4,-24.748,211.83
20,0,-24.759,212.06
20,1,-25.245,212.95
20,2,-26.303,213.1
20,3,-25.564,212.99
20,4,-24.795,213.3
21,0,-25.791,212.22
21,1,-24.363,214.07
21,2,-26.36,213.11
21,3,-25.647,212.53
21,4,-26.145,214.63
22,0,-25.628,212.84
22,1,-25.315,212.52
22,2,-26.113,213.87
22,3,-26.67,212.41
22,4,-25.529,213.3
23,0,-25.813,212.23
23,1,-24.576,212.23
23,2,-26.19,212.02
23,3,-25.245,211.75
23,4,-25.314,212.32
24,0,-26.804,212.6
24,1,-24.566,212.04
24,2,-25.088,212.9
24,3,-26.577,211.95
24,4,-25.64,213.07
25,0,-26.602,212.33
25,1,-25.335,212.52
25,2,-25.805,211.34
25,3,-25.981,212.15
25,4,-25.843,213.02
26,0,-26.118,213.97
26,1,-25.543,213.21
26,2,-25.613,213.18
26,3,-26.278,213.14
26,4,-24.782,212.13
27,0,-26.227,212.64
27,1,-24.47,213.11
27,2,-26.044,212.7
27,3,-24.655,212.52
27,4,-27.721,212.15
28,0,-26.657,212.5
28,1,-25.284,213.41
28,2,-25.97,212.78
28,3,-27.789,210.38
28,4,-24.711,214.04
29,0,-26.173,211.85
29,1,-24.366,212.9
29,2,-27.062,212.42
29,3,-25.093,212.13
29,4,-25.921,211.47
30,0,-25.606,212.04
30,1,-24.105,211.82
30,2,-24.038,214.65
30,3,-25.224,210.48
30,4,-23.91,212.41
31,0,-26.974,212.8
31,1,-24.228,212.6
31,2,-25.74,213.88
31,3,-25.24,212.91
31,4,-25.648,212.23
32,0,-25.331,212.72
32,1,-26.996,211.55
32,2,-24.53,212.79
32,3,-26.384,212.45
32,4,-24.122,213.18
33,0,-26.104,212.52
33,1,-24.66,211.74
33,2,-25.873,212.63
33,3,-25.586,213.71
33,4,-26.039,213.97
34,0,-24.307,213.09
34,1,-25.178,210.87
34,2,-26.456,213.66
34,3,-26.423,212.81
34,4,-24.191,212.52
35,0,-26.551,211.37
35,1,-25.666,213.86
35,2,-25.478,212.52
35,3,-26.377,212.81
35,4,-25.144,213.3
36,0,-24.453,213.78
36,1,-24.947,211.76
36,2,-25.694,212.8
36,3,-26.536,210.76
36,4,-26.62,213.96
37,0,-25.303,211.08
37,1,-25.027,210.86
37,2,-25.994,212.22
37,3,-26.017,211.92
37,4,-25.376,211.66
38,0,-25.406,212.5
38,1,-25.459,211.55
38,2,-25.225,212.7
38,3,-26.289,210.79
38,4,-25.524,213.35
39,0,-25.531,212.42
39,1,-25.356,211.46
39,2,-25.974,212.04
39,3,-26.068,212.61
39,4,-25.128,211.66
40,0,-25.071,212.51
40,1,-26.684,212.23
40,2,-24.102,213.87
40,3,-25.787,211.56
40,4,-25.639,212.61
41,0,-25.948,213.1
41,1,-24.298,211.45
41,2,-24.977,211.37
41,3,-25.819,212.69
41,4,-25.741,213.09
42,0,-25.082,212.7
42,1,-25.857,211.36
42,2,-25.045,213.5
42,3,-25.553,211.75
42,4,-25.829,212.33
43,0,-26.511,212.43
43,1,-24.988,212.13
43,2,-25.158,210.96
43,3,-25.511,211.94
43,4,-25.103,212.82
44,0,-24.945,213.58
44,1,-26.508,210.96
44,2,-25.278,211.83
44,3,-25.524,212.22
44,4,-25.214,211.73
45,0,-26.751,212.6
45,1,-25.133,211.85
45,2,-24.825,210.87
45,3,-25.745,212.31
45,4,-25.423,211.65
46,0,-25.94,214.04
46,1,-24.669,211.06
46,2,-25.082,212.22
46,3,-25.389,211.17
46,4,-25.753,211.66
47,0,-25.517,211.94
47,1,-26.768,213.69
47,2,-24.638,211.45
47,3,-25.669,211.14
47,4,-25.471,209.71
48,0,-25.685,212.62
48,1,-25.829,210.68
48,2,-25.514,212.42
48,3,-26.189,210.77
48,4,-25.013,211.83
49,0,-25.522,211.74
49,1,-28.194,213.08
49,2,-24.697,212.15
49,3,-25.101,210.57
49,4,-25.476,209.8
50,0,-25.756,212.24
50,1,-26.084,211.36
50,2,-25.449,212.15
50,3,-25.913,212.24
50,4,-25.468,212.42
51,0,-24.634,210.99
51,1,-25.724,211.74
51,2,-25.159,212.03
51,3,-24.232,211.47
51,4,-25.614,211.09
52,0,-24.361,212.98
52,1,-25.5,212.63
52,2,-25.571,212.32
52,3,-25.4,211.65
52,4,-25.96,211.83
53,0,-24.659,212.54
53,1,-25.735,211.26
53,2,-26.033,211.36
53,3,-24.694,213.2
53,4,-25.13,210.69
54,0,-24.917,212.61
54,1,-25.914,212.33
54,2,-25.853,212.43
54,3,-24.913,211.55
54,4,-25.898,210.79
55,0,-25.217,211.84
55,1,-26.987,211.17
55,2,-26.218,212.11
55,3,-25.826,211.44
55,4,-26.172,210.68
56,0,-24.541,212.7
56,1,-26.583,213.11
56,2,-26.468,211.55
56,3,-25.508,212.79
56,4,-24.357,211.16
57,0,-25.065,210.79
57,1,-26.251,211.26
57,2,-26.418,212.41
57,3,-25.589,211.93
57,4,-25.532,210.69
58,0,-25.621,211.84
58,1,-26.029,211.73
58,2,-25.347,210.98
58,3,-24.952,211.36
58,4,-25.92,210.47
59,0,-24.681,211.27
59,1,-26.002,211.27
59,2,-25.445,211.45
