Frame, SubFrame, COPx(mm), COPy(mm)
43,4,-26.756,218.12
44,0,-26.636,218.71
44,1,-25.689,216.76
44,2,-25.394,217.74
44,3,-25.55,217.14
44,4,-25.318,217.47
45,0,-25.359,217.74
45,1,-25.108,217.53
45,2,-25.548,218.9
45,3,-24.713,218.63
45,4,-26.544,218.64
46,0,-25.793,218.1
46,1,-25.991,218.92
46,2,-25.78,217.92
46,3,-25.64,218.1
46,4,-25.935,219.08
47,0,-23.84,217.11
47,1,-24.952,218.7
47,2,-25.506,218.47
47,3,-26.172,219.45
47,4,-24.6,218.35
48,0,-25.98,218.51
48,1,-25.129,218.5
48,2,-25.997,219.1
48,3,-25.225,219.03
48,4,-24.155,219.32
49,0,-25.476,219.58
49,1,-25.012,217.27
49,2,-26.448,217.2
49,3,-24.653,218.6
49,4,-25.3,218.49
50,0,-24.779,219.12
50,1,-24.994,217.51
50,2,-26.118,218.03
50,3,-24.059,218.28
50,4,-26.279,218.23
51,0,-24.836,219.33
51,1,-25.13,218.16
51,2,-24.986,217.62
51,3,-26.434,218.8
51,4,-25.832,218.25
52,0,-25.285,219.03
52,1,-25.316,218.85
52,2,-23.687,218.41
52,3,-25.953,218.76
52,4,-24.439,219.07
53,0,-25.378,219.48
53,1,-22.262,218.4
53,2,-24.347,219.76
53,3,-26.439,219.99
53,4,-25.825,219.68
54,0,-25.218,219.02
54,1,-24.504,219.3
54,2,-26.186,219.63
54,3,-25.725,219.47
54,4,-26.549,218.72
55,0,-24.32,219.47
55,1,-26.249,220.01
55,2,-25.224,220.78
55,3,-25.272,219.5
55,4,-26.04,219.31
56,0,-24.558,218.34
56,1,-25.98,219.66
56,2,-25.041,219.85
56,3,-25.93,219.06
56,4,-25.075,219.08
57,0,-25.761,217.66
57,1,-25.724,219.25
57,2,-25.785,219.86
57,3,-25.446,219.3
57,4,-24.035,218.19
58,0,-26.126,219.73
58,1,-24.759,219.4
58,2,-26.659,220.24
58,3,-24.583,218.92
58,4,-26.295,218.26
59,0,-25.852,218.93
59,1,-24.341,220.49
59,2,-26.047,218.79
59,3,-24.73,219.95
59,4,-25.405,219.39
60,0,-25.468,220.38
60,1,-25.458,219.85
60,2,-25.858,220.45
60,3,-26.377,220.39
60,4,-24.398,220.4
61,0,-24.791,220
61,1,-25.359,220.51
61,2,-24.57,219.64
61,3,-26.507,219.14
61,4,-24.025,221.15
62,0,-25.645,219.83
62,1,-25.32,219.51
62,2,-25.543,219.53
62,3,-25.204,219.4
62,4,-25.459,219.33
63,0,-25.761,219.66
63,1,-24.587,219.12
63,2,-25.523,219.71
63,3,-23.184,220.42
63,4,-25.68,219.95
64,0,-26.05,218.84
64,1,-25.53,218.42
64,2,-24.618,220.01
64,3,-24.67,220.64
64,4,-25.88,219.7
65,0,-24.538,219.1
65,1,-25.797,219.59
65,2,-24.5,221.23
65,3,-25.666,219.75
65,4,-24.492,220.72
66,0,-25.199,219.44
66,1,-25.594,219.78
66,2,-24.709,220.85
66,3,-27.249,217.77
66,4,-24.2,221.6
67,0,-26.345,220.29
67,1,-24.328,220.33
67,2,-26.721,221.49
67,3,-25.134,221.01
67,4,-25.682,219.96
68,0,-25.786,220.41
68,1,-25.876,220.75
68,2,-26.787,220.28
68,3,-25.622,220.65
68,4,-25.856,218.44
69,0,-24.259,221.39
69,1,-26.257,220.3
69,2,-25.413,219.6
69,3,-25.097,219.26
69,4,-24.834,220.5
70,0,-25.587,220.76
70,1,-26.351,220.83
70,2,-24.338,219.75
70,3,-25.696,220.68
70,4,-24.843,221.12
71,0,-24.913,220.52
71,1,-25.362,222.29
71,2,-25.871,219.88
71,3,-25.993,220.17
71,4,-24.743,221.63
72,0,-26.768,220.41
72,1,-25.027,222.64
72,2,-26.689,220.01
72,3,-24.478,219.6
72,4,-26.055,219.71
73,0,-25.723,222.31
73,1,-26.082,221.07
73,2,-26.009,220.68
73,3,-26.329,220.06
73,4,-26.509,220.59
74,0,-25.203,222.47
74,1,-26.983,219.12
74,2,-25.528,221.61
74,3,-26.423,221.35
74,4,-25.25,221.92
75,0,-24.947,220.72
75,1,-26.717,219.79
75,2,-24.905,222.47
75,3,-24.546,220.74
75,4,-25.786,221.36
76,0,-27.593,219.95
76,1,-27.067,222.12
76,2,-25.465,222.36
76,3,-23.683,221.91
76,4,-25.618,221.69
77,0,-25.55,221.31
77,1,-26.169,222.02
77,2,-26.066,219.72
77,3,-25.082,222.38
77,4,-27.225,221.24
78,0,-26.544,221.06
78,1,-26.649,220.75
78,2,-27.107,221.59
78,3,-24.936,222
78,4,-25.993,222.08
79,0,-25.645,220.95
79,1,-26.779,221.52
79,2,-25.305,222.45
79,3,-26.495,219.37
79,4,-25.805,223.11
80,0,-27.565,223.1
80,1,-25.757,221.98
80,2,-25.834,222.45
80,3,-26.514,221.59
80,4,-27.015,222.42
81,0,-26.93,222.16
81,1,-26.241,222.34
81,2,-25.376,221.57
81,3,-26.083,223.38
81,4,-26.764,222.21
82,0,-26.849,222.86
82,1,-27.106,223.84
82,2,-26.444,223.3
82,3,-24.555,224.46
82,4,-26.643,220.66
83,0,-27.406,223.44
83,1,-27.366,222.05
83,2,-26.081,222.12
83,3,-26.722,222.26
83,4,-27.879,223.1
84,0,-27.738,223.02
84,1,-27.153,222.11
84,2,-26.11,224
84,3,-25.349,222.15
84,4,-26.305,223.21
85,0,-27.654,220.87
85,1,-26.281,223.71
85,2,-28.279,221.98
85,3,-26.193,222.93
85,4,-26.184,222.46
86,0,-27.09,222.79
86,1,-26.336,224.35
86,2,-26.381,223.21
86,3,-26.715,223.78
86,4,-26.119,221.17
87,0,-27.612,223.85
87,1,-27.538,222.77
87,2,-26.179,223.66
87,3,-27.473,224.75
87,4,-28.339,223.03
88,0,-27.054,224.07
88,1,-26.878,222.42
88,2,-27.351,223.6
88,3,-27.02,223.09
88,4,-28.142,223.83
89,0,-27.078,221.91
89,1,-27.842,224.25
89,2,-27.038,224.14
89,3,-26.95,223.96
89,4,-27.921,224.43
90,0,-28.326,222.34
90,1,-27.216,224.26
90,2,-27.027,222.06
90,3,-26.42,223.25
90,4,-28.939,223.18
91,0,-27.717,223.79
91,1,-27.049,223.79
91,2,-26.814,224.98
91,3,-25.66,224.26
91,4,-26.86,224.38
92,0,-27.47,225.01
92,1,-26.282,223.88
92,2,-26.145,225.34
92,3,-26.904,223.91
92,4,-27.561,223.95
93,0,-28.733,223.81
93,1,-27.966,224.08
93,2,-27.901,225.07
93,3,-26.75,223.98
93,4,-27.687,223.92
94,0,-27.563,223.41
94,1,-28.043,223.87
94,2,-26.123,224.22
94,3,-27.349,223.5
94,4,-27.786,223.59
95,0,-28.08,222.22
95,1,-28.042,223.25
95,2,-27.885,223.47
95,3,-28.487,224.55
95,4,-27.672,221.64
96,0,-27.471,222.8
96,1,-26.943,222.65
96,2,-26.451,223.96
96,3,-26.703,223.71
96,4,-27.169,222.59
97,0,-27.643,222.9
97,1,-27.001,223.39
97,2,-28.068,223.21
97,3,-26.391,223.77
97,4,-28.525,223.72
98,0,-26.958,222.97
98,1,-27.265,223.67
98,2,-27.422,223.8
98,3,-27.121,222.61
98,4,-27.361,224.53
99,0,-27.229,224.2
99,1,-27.674,223.78
99,2,-27.139,223.94
99,3,-27.215,224.1
99,4,-28.686,224.49
100,0,-28.116,224.13
100,1,-28.696,223.54
100,2,-26.537,222.1
100,3,-28.477,224.16
100,4,-27.676,222.38
101,0,-28.955,224.02
101,1,-27.024,222.55
101,2,-27.992,223.49
101,3,-28.617,222.4
101,4,-28.047,222.92
102,0,-27.652,223.23
102,1,-27.921,223.2
102,2,-26.911,222.85
102,3,-27.078,223.12
102,4,-28.227,222.48
103,0,-28.623,223.07
103,1,-27.892,223.58
103,2,-27.515,223.83
103,3,-27.417,224.04
103,4,-28.228,222.33
104,0,-27.731,221.72
104,1,-27.253,223.49
104,2,-26.855,223.44
104,3,-27.97,224.01
104,4,-27.641,222.9
105,0,-28.529,222.71
105,1,-27.828,222.88
105,2,-27.569,223.19
105,3,-28.668,223.42
105,4,-26.991,221.52
106,0,-29.071,223.29
106,1,-27.072,223.12
106,2,-29.328,222.62
106,3,-27.812,224.05
106,4,-28.219,222.75
107,0,-27.634,221.59
107,1,-27.747,223.15
107,2,-29.599,222.34
107,3,-27.798,224.03
107,4,-28.696,221.14
108,0,-27.519,221.07
108,1,-28.643,220.42
108,2,-27.492,221.48
108,3,-28.414,222.05
108,4,-27.962,220.97
109,0,-27.008,221.76
109,1,-28.245,222.27
109,2,-27.738,222.51
109,3,-29.379,223.24
109,4,-27.033,223.13
110,0,-28.85,221.72
110,1,-27.465,221.89
110,2,-27.043,222.62
110,3,-28.587,222.59
110,4,-28.175,222.39
111,0,-28.495,221.15
111,1,-27.316,222.46
111,2,-28.38,222.29
111,3,-27.575,222.32
111,4,-29.481,221.42
112,0,-28.337,221.56
112,1,-28.082,220.97
112,2,-29.003,221.24
112,3,-28.598,222.07
112,4,-29.647,221.57
113,0,-27.294,221.93
113,1,-29.788,221.17
113,2,-27.961,221.32
113,3,-28.434,221.45
113,4,-28.531,221.4
114,0,-27.754,221.23
114,1,-28.769,221.15
114,2,-27.916,221.47
114,3,-29.251,222.12
114,4,-28.124,221.84
115,0,-30.023,220.5
115,1,-28.003,221.82
115,2,-29.281,220.41
115,3,-27.75,221.87
115,4,-28.5,220.58
116,0,-28.712,219.18
116,1,-27.202,221.52
116,2,-28.973,220.66
116,3,-28.333,221.77
116,4,-28.991,221.41
117,0,-27.512,221.12
117,1,-29.69,219.53
117,2,-28.754,220.19
117,3,-29.156,220.37
117,4,-29.146,219.25
118,0,-27.688,220.01
118,1,-29.648,220.14
118,2,-27.244,220.67
118,3,-30.182,220.62
118,4,-28.333,220.99
119,0,-29.653,218.97
119,1,-27.338,220.11
119,2,-28.592,219.23
119,3,-29.022,220.11
119,4,-27.981,220.68
120,0,-29.413,218.86
120,1,-28.146,219.88
120,2,-30.366,219.35
120,3,-28.924,221.53
120,4,-29.209,219.34
121,0,-28.485,218.93
121,1,-28.284,220.32
121,2,-29.787,219.82
121,3,-27.811,221.15
121,4,-30.442,219.52
122,0,-28.669,220
122,1,-30.362,218.7
122,2,-27.151,221.05
122,3,-29.102,219.77
122,4,-28.224,218.44
123,0,-29.275,218.57
123,1,-29.025,217.81
123,2,-27.705,219.8
123,3,-30.217,218.66
123,4,-27.404,218.9
124,0,-29.653,217.88
124,1,-28.168,217.83
124,2,-29.531,219.29
124,3,-29.271,219.52
124,4,-28.689,218.27
125,0,-29.917,217.31
125,1,-27.874,219.6
125,2,-30.015,217.6
125,3,-28.604,220.03
125,4,-29.914,216.94
126,0,-29.028,218.82
126,1,-29.495,217.6
126,2,-29.176,219.33
126,3,-28.556,219.78
126,4,-29.944,219.66
127,0,-28.818,217.99
127,1,-30.574,217.42
127,2,-29.922,217.88
127,3,-29.384,219.62
127,4,-29.803,219.04
128,0,-28.628,215.36
128,1,-29.003,216.54
128,2,-29.279,218.6
128,3,-28.804,219.39
128,4,-28.009,218.37
129,0,-30.754,215.51
129,1,-28.43,218.96
129,2,-30.012,218.49
129,3,-28.671,217.74
129,4,-28.461,216.76
130,0,-29.505,216.07
130,1,-28.829,217.92
130,2,-30.355,216.97
130,3,-29.486,218.28
130,4,-30.224,215.67
131,0,-28.32,217.48
131,1,-29.298,216.47
131,2,-29.051,217.68
131,3,-30.137,218.19
131,4,-30.04,217.71
132,0,-28.648,217.12
132,1,-29.766,217.54
132,2,-28.946,218.41
132,3,-30.903,217.47
132,4,-29.613,217.04
133,0,-29.295,215.76
133,1,-29.227,216.12
133,2,-30.34,216.94
133,3,-29.497,217.62
133,4,-28.43,218.55
134,0,-30.198,215.71
134,1,-30.494,217.16
134,2,-30.73,216.9
134,3,-29.195,218.91
134,4,-29.514,216.32
135,0,-29.616,214.05
135,1,-28.665,217.48
135,2,-30.659,217.29
135,3,-28.747,218.15
135,4,-29.218,216.24
136,0,-28.94,217.57
136,1,-29.716,215.63
136,2,-28.012,218.63
136,3,-29.697,217
136,4,-28.126,217.8
137,0,-28.816,217.3
137,1,-29.4,217.51
137,2,-29.16,219.32
137,3,-30.94,217.6
137,4,-29.003,217.35
138,0,-29.355,216.72
138,1,-29.121,217.26
138,2,-30.057,217.2
138,3,-29.497,218.33
138,4,-29.31,216.49
139,0,-28.995,216.3
139,1,-29.695,217.26
139,2,-30.982,215.84
139,3,-28.743,217.72
139,4,-30.981,216.16
140,0,-29.97,215.63
140,1,-29.197,216.5
140,2,-29.713,215.63
140,3,-27.759,216.38
140,4,-30.385,214.95
141,0,-28.759,216.85
141,1,-29.809,213.96
141,2,-28.847,217.54
141,3,-28.979,215.51
141,4,-28.096,217.6
142,0,-28.944,215.05
142,1,-29.276,216.5
142,2,-28.539,216.4
142,3,-28.778,216.07
142,4,-28.971,217.11
143,0,-31.218,215.93
143,1,-29.533,216.96
143,2,-29.103,216.81
143,3,-27.878,216.15
143,4,-28.066,216.66
144,0,-29.613,217.36
144,1,-29.689,218.34
144,2,-29.065,216.12
144,3,-28.93,217.28
144,4,-29.209,215.47
145,0,-30.396,217.56
145,1,-30.12,215.51
145,2,-28.731,215.4
145,3,-29.452,215.73
145,4,-29.432,216.41
146,0,-27.91,215.91
146,1,-29.555,215.43
146,2,-28.355,216.3
146,3,-29.333,213.87
146,4,-30.198,217.47
147,0,-28.557,215.83
147,1,-29.484,216.42
147,2,-29.616,215.67
147,3,-29.805,215.13
147,4,-29.009,217.11
148,0,-29.785,214.45
148,1,-28.69,216.56
148,2,-29.024,215.61
148,3,-28.651,215.66
148,4,-29.306,215.26
149,0,-29.222,216.41
149,1,-29.193,216.68
149,2,-28.663,217.18
149,3,-29.43,215.16
149,4,-29.209,213.84
150,0,-29.499,217.26
150,1,-28.845,215.37
150,2,-28.648,215.84
150,3,-29.728,214.35
150,4,-29.781,214.24
151,0,-28.226,215.22
151,1,-28.407,214.67
151,2,-28.419,216.14
151,3,-29.002,214.45
151,4,-30.338,215.98
152,0,-28.33,215.12
152,1,-29.195,214.76
152,2,-28.819,215.04
152,3,-29.127,214.75
152,4,-29.326,215.62
153,0,-29.044,214.17
153,1,-29.756,215.35
153,2,-29.758,214.28
153,3,-28.729,215.16
153,4,-29.102,214.63
154,0,-29.752,214.63
154,1,-29.587,215.02
154,2,-30.449,215.84
154,3,-29.419,215.73
154,4,-29.863,215.73
155,0,-30.362,215.24
155,1,-29.325,213.97
155,2,-29.491,216.38
155,3,-28.705,214.34
155,4,-29.713,215.89
156,0,-30.245,214.25
156,1,-28.952,214.43
156,2,-29.421,215.95
156,3,-29.529,214.15
156,4,-30.253,217
157,0,-29.835,214.15
157,1,-29.713,213.76
157,2,-29.039,213.27
157,3,-29.849,215.43
157,4,-29.151,214.82
158,0,-29.636,214.15
158,1,-29.679,214.35
158,2,-30.039,215.14
158,3,-30.928,216.61
158,4,-28.945,215.82
159,0,-30.05,215.59
159,1,-29.456,215.91
159,2,-28.683,215.28
159,3,-29.099,216.69
159,4,-29.279,215.04
160,0,-30.278,215.13
160,1,-29.887,215.03
160,2,-30.638,214.34
160,3,-28.91,215.2
160,4,-29.137,215.43
161,0,-28.68,214.25
161,1,-29.836,215.91
161,2,-29.98,215.13
161,3,-29.139,214.73
161,4,-29.411,214.24
162,0,-29.381,214.63
162,1,-31.703,215.69
162,2,-29.132,214.21
162,3,-29.721,213.68
162,4,-29.718,213.56
163,0,-30.091,214.35
163,1,-30.576,215.22
163,2,-29.897,214.33
163,3,-29.116,214.88
163,4,-28.862,213.55
164,0,-30.099,214.57
164,1,-29.477,215.13
164,2,-30.418,214.85
164,3,-30.047,213.39
