Frame, SubFrame, COPx(mm), COPy(mm)
1,0,-29.975,203.32
1,1,-30.477,201.87
1,2,-30.526,200.97
1,3,-32.448,201.24
1,4,-31.57,202.36
2,0,-29.99,201.64
2,1,-32.716,201.66
2,2,-30.526,202.25
2,3,-32.325,201.39
2,4,-30.783,201.46
3,0,-31.584,199.85
3,1,-31.775,200.34
3,2,-30.458,201.24
3,3,-30.696,201.22
3,4,-29.738,199.89
4,0,-31.269,202.32
4,1,-29.696,201.59
4,2,-31.152,202.34
4,3,-30.781,199.51
4,4,-30.393,202.65
5,0,-29.396,200.2
5,1,-29.888,201.87
5,2,-31.92,201.55
5,3,-30.694,200.55
5,4,-30.83,202.16
6,0,-32.022,200.73
6,1,-30.182,200.79
6,2,-30.507,201.13
6,3,-29.215,201.37
6,4,-31.617,200.84
7,0,-31.715,201.87
7,1,-30.895,201.48
7,2,-30.642,200.35
7,3,-32.649,199.76
7,4,-30.482,202.57
8,0,-31.634,201.84
8,1,-31.289,202.58
8,2,-31.609,201.83
8,3,-30.091,201.91
8,4,-31.455,199.5
9,0,-31.351,200.19
9,1,-31.966,199.7
9,2,-31.578,200.65
9,3,-30.571,201.69
9,4,-31.6,201.65
10,0,-30.887,200.61
10,1,-30.8,202.86
10,2,-30.449,198.91
10,3,-29.6,200.76
10,4,-31.515,201.56
11,0,-28.627,200.81
11,1,-30.752,202.66
11,2,-31.34,200.62
11,3,-30.373,202.5
11,4,-32.257,202.07
12,0,-29.575,201.82
12,1,-31.419,199.95
12,2,-30.699,201.72
12,3,-31.023,202.74
12,4,-31.797,200.89
13,0,-31.553,200.8
13,1,-30.899,201.09
13,2,-30.849,201.46
13,3,-30.521,201.28
13,4,-31.781,199.07
14,0,-31.43,201.3
14,1,-32.109,201.63
14,2,-30.337,201.4
14,3,-31.516,200.4
14,4,-31.036,200.39
15,0,-30.513,200.71
15,1,-32.081,200.37
15,2,-30.321,200.53
15,3,-30.141,200.52
15,4,-32.662,199.96
16,0,-30.595,200.99
16,1,-30.896,200.33
16,2,-30.272,200.92
16,3,-29.936,199.97
16,4,-30.817,199.12
17,0,-29.863,201.29
17,1,-31.056,200.67
17,2,-30.138,200.21
17,3,-32.299,200.21
17,4,-30.248,200.35
18,0,-31.119,199.84
18,1,-29.548,200.01
18,2,-30.541,200
18,3,-31.161,199.1
18,4,-31.222,201.9
19,0,-30.74,201.78
19,1,-31.066,199.17
19,2,-31.986,200.9
19,3,-32.416,200.08
19,4,-29.374,201.11
20,0,-30.675,199.99
20,1,-29.87,200.53
20,2,-31.664,201.17
20,3,-30.276,200.07
20,4,-29.734,199.92
21,0,-31.448,198.63
21,1,-29.856,201.01
21,2,-28.857,200.31
21,3,-30.554,199.6
21,4,-31.031,201.51
22,0,-32.18,200.69
22,1,-31.092,200.03
22,2,-31.198,201.01
22,3,-31.209,199.88
22,4,-30.408,200.15
23,0,-31.653,201.86
23,1,-31.042,202.01
23,2,-31.797,199.74
23,3,-29.625,200.83
23,4,-30.94,199.87
24,0,-31.783,199.19
24,1,-31.31,200.66
24,2,-30.676,201.06
24,3,-30.89,199.67
24,4,-31.47,201.25
25,0,-31.021,200.1
25,1,-29.233,200.7
25,2,-31.709,199.09
25,3,-29.186,201.48
25,4,-31.242,199.77
26,0,-29.254,201.08
26,1,-31.534,200.5
26,2,-30.996,200.08
26,3,-30.933,201.59
26,4,-31.44,200.76
27,0,-28.991,199.28
27,1,-30.145,200.37
27,2,-29.202,200.57
27,3,-30.063,200.68
27,4,-30.761,200.38
28,0,-30.212,201.19
28,1,-30.322,198.89
28,2,-31.609,200.8
28,3,-29.82,200.57
28,4,-30.101,201.19
29,0,-29.588,201.11
29,1,-30.738,200.74
29,2,-30.113,199.84
29,3,-30.653,202.07
29,4,-30.322,200.41
30,0,-30.567,199.68
30,1,-31.126,201.23
30,2,-30.392,200.8
30,3,-29.976,199.97
30,4,-31.813,200.07
31,0,-28.797,201.32
31,1,-30.565,199.3
31,2,-29.962,201.11
31,3,-30.269,199.4
31,4,-29.215,199.42
32,0,-30.965,201.87
32,1,-30.303,201.48
32,2,-28.001,201.12
32,3,-30.62,200.51
32,4,-29.41,200.33
33,0,-30.251,200.5
33,1,-29.934,199.33
33,2,-30.087,201.69
33,3,-29.448,201.01
33,4,-30.468,201.57
34,0,-29.335,201.11
34,1,-29.73,200.11
34,2,-30.18,201.11
34,3,-29.971,201.06
34,4,-30.496,199.81
35,0,-29.295,201.25
35,1,-29.61,201.01
35,2,-29.179,199.82
35,3,-29.67,200.1
35,4,-30.02,200.81
36,0,-30.002,199.48
36,1,-29.832,199.14
36,2,-28.824,199.55
36,3,-31.471,199.63
36,4,-28.706,201.72
37,0,-29.317,201.07
37,1,-29.041,199.77
37,2,-30.659,200.1
37,3,-28.791,200.04
37,4,-28.54,200.53
38,0,-29.411,200.72
38,1,-29.277,199.43
38,2,-30.904,201.29
38,3,-29.071,200.84
38,4,-28.964,200.63
39,0,-28.886,199.08
39,1,-29.199,203.28
39,2,-29.197,199.55
39,3,-29.154,201.02
39,4,-28.966,200.61
40,0,-28.984,200.91
40,1,-29.988,200.07
40,2,-29.876,199.72
40,3,-28.101,199.96
40,4,-29.232,198.92
41,0,-28.906,199.94
41,1,-28.564,200.82
41,2,-29.672,200
41,3,-29.634,200.46
41,4,-29.19,199.51
42,0,-29.532,197.22
42,1,-27.669,200.12
42,2,-28.998,200.01
42,3,-27.267,199.43
42,4,-29.975,200.81
43,0,-29.278,200.96
43,1,-28.336,200.82
43,2,-28.86,199.84
43,3,-27.791,200.15
43,4,-29.641,201.32
44,0,-27.231,201.04
44,1,-27.706,200.68
44,2,-27.924,199.18
44,3,-28.774,202.59
44,4,-28.095,199.83
45,0,-28.661,200.2
45,1,-29.371,200.99
45,2,-27.371,200.35
45,3,-29.4,200.41
45,4,-28.483,199.27
46,0,-27.462,201.91
46,1,-29.172,200.97
46,2,-28.004,201.22
46,3,-28.531,199.71
46,4,-29.267,199.82
47,0,-28.452,201.47
47,1,-29.309,200.1
47,2,-28.83,201.88
47,3,-27.57,201
47,4,-28.278,199.67
48,0,-26.803,200.51
48,1,-28.105,200.18
48,2,-26.521,199.04
48,3,-28.499,200.17
48,4,-27.09,200.09
49,0,-26.782,199.5
49,1,-28.006,202.19
49,2,-27.665,201.18
49,3,-27.511,199.28
49,4,-27.455,200.45
50,0,-27.747,198.68
50,1,-28.002,199.23
50,2,-26.634,202.19
50,3,-28.031,200.09
50,4,-27.851,201.2
51,0,-28.608,202.65
51,1,-26.341,199.42
51,2,-26.056,199.5
51,3,-28.599,198.74
51,4,-27.069,200.13
52,0,-27.614,200.44
52,1,-27.652,199.34
52,2,-29.032,199.76
52,3,-27.861,199.69
52,4,-26.1,200.96
53,0,-28.497,199.91
53,1,-28.033,200.66
53,2,-27.277,201.18
53,3,-26.485,200.68
53,4,-27.67,201.46
54,0,-26.917,199.6
54,1,-26.437,199.98
54,2,-27.316,199.67
54,3,-26.467,199.38
54,4,-27.437,201.06
55,0,-25.694,201.18
55,1,-25.382,200.57
55,2,-27.929,198.86
55,3,-26.043,201.36
55,4,-25.199,201.05
56,0,-26.778,198.95
56,1,-27.446,201.86
56,2,-26.686,202.39
56,3,-25.948,200.7
56,4,-26.962,200.08
57,0,-27.027,200.91
57,1,-24.71,200.58
57,2,-27.111,201.73
57,3,-26.774,198.6
57,4,-26.977,201.02
58,0,-27.051,203.24
58,1,-25.12,200.66
58,2,-26.977,200.15
58,3,-26.603,202.18
58,4,-25.913,200.87
59,0,-26.277,200.73
59,1,-26.293,200.94
59,2,-26.461,200.04
59,3,-26.328,201.43
59,4,-26.328,200.14
60,0,-25.28,200.86
60,1,-27.245,201.18
60,2,-25.408,199.89
60,3,-25.57,201.56
60,4,-27.219,200.96
61,0,-25.206,201.28
61,1,-26.621,200.36
61,2,-25.793,200.19
61,3,-27.884,202.25
61,4,-27.181,201.49
62,0,-26.34,201.17
62,1,-25.831,200.96
62,2,-26.653,201.76
62,3,-26.165,201.96
62,4,-26.235,199.63
63,0,-26.354,200.47
63,1,-26.192,201.63
63,2,-25.856,202.75
63,3,-26.907,201.04
63,4,-25.212,202.23
64,0,-25.855,202.38
64,1,-25.879,200.6
64,2,-26.19,202.26
64,3,-26.018,200.67
64,4,-26.878,200.4
65,0,-27.306,202.07
65,1,-26.195,200.64
65,2,-24.363,202.06
65,3,-26.718,201.75
