Frame, SubFrame, COPx(mm), COPy(mm)
1,0,103.2,241.51
1,1,104.67,241.52
1,2,104.41,241.9
1,3,104.96,241.59
1,4,104.09,241.98
2,0,103.97,241.49
2,1,104.54,242.21
2,2,104.89,241.21
2,3,103.6,242.08
2,4,104.53,242.52
3,0,103.92,242.56
3,1,103.95,240.92
3,2,104.35,242.81
3,3,103.99,241.2
3,4,104.29,242.28
4,0,104.22,241.6
4,1,103.62,241.61
4,2,103.69,241.86
4,3,103.79,242.67
4,4,103.93,242.09
5,0,104.11,243.45
5,1,103.71,242.14
5,2,104.35,242.8
5,3,103.84,241.6
5,4,104.01,241.91
6,0,103.42,242.08
6,1,103.75,242.98
6,2,103.01,241.65
6,3,103.57,242.69
6,4,103.57,242.55
7,0,103.59,242.81
7,1,103.42,241.33
7,2,103.85,242.46
7,3,103.5,241.7
7,4,103.06,242.04
8,0,103.21,242.07
8,1,103.63,242.8
8,2,103.19,242.84
8,3,103.06,242.2
8,4,103.33,242.13
9,0,103.93,241.67
9,1,103.12,242.6
9,2,103.18,241.37
9,3,102.28,243.1
9,4,102.64,241.36
10,0,103.34,243.16
10,1,102.81,241.95
10,2,102.9,242.32
10,3,103.54,242.55
10,4,102.89,242.79
11,0,102.81,241.79
11,1,102.44,243.39
11,2,102.5,242.48
11,3,103.36,243.86
11,4,102.8,242.84
12,0,102.59,242.54
12,1,103.2,243.25
12,2,102.51,242.18
12,3,102.32,241.59
12,4,102.39,242.85
13,0,101.32,241.77
13,1,102.83,242.19
13,2,102.02,241.51
13,3,102.28,241.9
13,4,102.69,243.49
14,0,102.86,241.89
14,1,102.68,242.02
14,2,102.33,241.56
14,3,101.27,241.65
14,4,102.06,241.9
15,0,101.35,242.47
15,1,101.61,240.36
15,2,101.96,242.72
15,3,101.44,240.94
15,4,102.55,242.26
16,0,101.13,241.18
16,1,101.28,241.2
16,2,101.94,241.86
16,3,101.89,242.5
16,4,100.7,241.09
17,0,101.9,242.34
17,1,100.18,241.19
17,2,101.94,241.56
17,3,100.62,242.62
17,4,101.54,240.87
18,0,100.6,241.73
18,1,101.29,241.8
18,2,101.25,241.4
18,3,101.39,241.26
18,4,100.97,241.02
19,0,101.26,241.53
19,1,100.58,240.59
19,2,100.76,240.75
19,3,101.27,240.63
19,4,101.14,240.16
20,0,100.74,240.92
20,1,101.41,240.4
20,2,100.78,240.15
20,3,101.03,239.8
20,4,100.79,241.02
21,0,101,239.84
21,1,100.64,240.69
21,2,100.21,239.85
21,3,101.83,240.66
21,4,101,239.71
22,0,100.96,240.47
22,1,100.49,239.94
22,2,101.19,241.17
22,3,100.44,240.6
22,4,100.3,241.42
