Frame, SubFrame, COPx(mm), COPy(mm)
47,2,116.85,210.87
47,3,116.97,209.69
47,4,117.27,211.56
48,0,116.82,209.77
48,1,117.63,211.15
48,2,117.29,210.25
48,3,117.24,208.79
48,4,117.3,211.14
49,0,116.63,209.47
49,1,116.43,210.27
49,2,117.04,209.97
49,3,117.33,211.65
49,4,117.13,211.05
50,0,117.58,211.52
50,1,116.8,211.04
50,2,118.17,210.46
50,3,117.22,211.22
50,4,116.38,209.76
51,0,117.18,210.35
51,1,117.19,210.44
51,2,117.92,210.83
51,3,117.23,210.15
51,4,117.13,210.85
52,0,116.92,211.35
52,1,117.89,209.37
52,2,117.52,210.54
52,3,117.19,209.66
52,4,117.51,211.04
53,0,116.87,210.55
53,1,117.75,210.55
53,2,117.3,209.39
53,3,117,210.37
53,4,116.97,210.19
54,0,116.94,209.89
54,1,117.47,210.17
54,2,117.67,208.42
54,3,117.53,210.18
54,4,117.8,209.59
55,0,117.19,209.51
55,1,117.85,209.02
55,2,117.83,210.1
55,3,117.39,208.63
55,4,117.72,210.51
56,0,117.35,209.32
56,1,117.52,208.94
56,2,117.64,209.63
56,3,117.05,208.65
56,4,117.89,209.72
57,0,117.66,208.54
57,1,118.03,209.33
57,2,117.23,209.14
57,3,118.29,210.03
57,4,117.15,209.72
58,0,118.19,208.76
58,1,117.86,210.62
58,2,117.89,209.24
58,3,118.33,209.82
58,4,117.64,208.85
59,0,118.25,209.33
59,1,117.61,208.66
59,2,117.94,209.33
59,3,117.98,209.24
59,4,118.09,208.75
60,0,118.13,209.92
60,1,118.19,208.65
60,2,118.41,209.14
60,3,118.11,208.35
60,4,118.3,208.56
61,0,118.57,208.35
61,1,118.54,209.33
61,2,118.35,208.64
61,3,118.5,208.94
61,4,118.9,208.23
62,0,117.96,208.56
62,1,118.45,209.82
62,2,117.87,209.04
62,3,118.61,208.93
62,4,119.03,208.64
63,0,119,209.71
63,1,117.9,208.44
63,2,118.87,208.74
63,3,118.34,208.03
63,4,118.54,207.66
64,0,118.9,209.24
64,1,118.63,208.24
64,2,118.86,208.94
64,3,119.09,207.76
64,4,119.37,209.43
65,0,118.4,207.96
65,1,118.96,208.95
65,2,118.61,208.75
65,3,119.42,207.68
65,4,118.79,208.75
66,0,118.71,207.77
66,1,118.85,208.36
66,2,119.45,208.06
66,3,119.02,208.45
66,4,118.97,207.48
67,0,119.49,209.05
67,1,118.85,208.46
67,2,119.76,208.26
67,3,119.85,208.55
67,4,119.46,208.76
68,0,119.44,208.46
68,1,119.88,209.45
68,2,119.03,207.37
68,3,119.68,208.27
68,4,119.62,208.66
69,0,119.52,208.06
69,1,119.91,208.27
69,2,119.96,208.25
69,3,119.71,207.29
69,4,120.02,208.17
70,0,120.22,207.47
70,1,120.12,207.87
70,2,119.75,207.68
70,3,120.2,208.26
70,4,119.49,207.07
71,0,120.51,209.06
71,1,120.05,208.25
71,2,119.88,206.68
71,3,120.79,209.25
71,4,120.66,207.06
72,0,119.79,207.76
72,1,120.35,207.16
72,2,120.02,207.66
72,3,119.35,206.36
72,4,120.13,208.55
73,0,119.66,207.74
73,1,120.55,207.85
73,2,120.64,208.84
73,3,120.28,207.46
73,4,120.61,207.55
74,0,120.35,208.15
74,1,120.44,207.15
74,2,119.83,208.14
74,3,120.45,208.74
74,4,119.71,207.85
75,0,121.19,207.95
75,1,120.35,209.33
75,2,120.21,206.76
75,3,121.12,207.84
75,4,121.69,207.75
76,0,120.69,206.94
76,1,121.08,207.16
76,2,120.84,208.34
76,3,120.65,207.55
76,4,121,209.35
77,0,121.05,207.54
77,1,120.71,206.96
77,2,121.12,208.45
77,3,121.47,206.36
77,4,120.49,207.83
78,0,121.64,206.94
78,1,120.97,207.44
78,2,120.16,206.25
78,3,121.39,208.44
78,4,120.89,207.63
79,0,122.21,207.46
79,1,121.05,208.93
79,2,121.06,207.75
79,3,121.53,207.94
79,4,121.05,208.04
80,0,120.82,208.54
80,1,120.53,207.77
80,2,121.58,208.54
80,3,120.79,208.26
80,4,121.66,208.06
81,0,120.79,208.34
81,1,120.51,207.86
81,2,121.44,206.96
81,3,121.55,208.75
81,4,121.15,207.06
82,0,120.97,207.06
82,1,121.46,208.05
82,2,120.76,207.35
82,3,121.74,208.45
82,4,121.52,208.34
83,0,121.31,207.36
83,1,121.8,208.35
83,2,122.07,208.14
83,3,121.94,207.14
83,4,121.83,207.26
84,0,121.17,208.63
84,1,121.38,206.55
84,2,121.81,208.35
84,3,121.25,207.64
84,4,121.48,208.45
85,0,121.88,209.04
85,1,122.15,208.63
85,2,122.05,208.44
85,3,122.1,208.53
85,4,121.38,209.13
86,0,121.42,207.85
86,1,121.72,209.73
86,2,121.24,208.42
86,3,122.25,207.55
86,4,121.18,208.92
87,0,121.36,207.95
87,1,121.71,208.34
87,2,121.63,207.34
87,3,121.97,208.44
87,4,121.19,207.74
88,0,121.59,209.21
88,1,121.62,207.34
88,2,122.49,208.22
88,3,121.02,208.72
88,4,121.44,208.13
89,0,121.49,208.62
89,1,121.83,208.43
89,2,121.62,208.72
89,3,121.14,208.53
89,4,121.23,209.21
90,0,121.42,208.43
90,1,121.41,208.34
90,2,121.23,207.82
90,3,120.72,208.13
90,4,121.22,208.92
91,0,121.6,208.61
91,1,121.61,208.51
91,2,121.47,207.53
91,3,121.37,207.92
91,4,120.6,208.22
92,0,121.77,208.72
92,1,120.87,208.3
92,2,121.49,207.64
92,3,120.8,208.41
92,4,120.9,208.62
93,0,120.33,208.32
93,1,121.43,207.63
93,2,120.8,209.61
93,3,121.03,207.83
93,4,120.94,209.21
94,0,120.77,208.53
94,1,121.63,208.72
94,2,120.45,208.51
94,3,120.86,208.52
94,4,121.14,208.92
95,0,120.71,208.51
95,1,121.13,209.8
95,2,120.33,208.22
95,3,120.77,208.91
95,4,120.24,209.1
96,0,121.66,208.51
96,1,120.84,209.09
96,2,120.89,207.81
96,3,120.61,209.1
96,4,120.66,208.11
97,0,120.61,208.1
97,1,120.31,208.42
97,2,120.33,209.39
97,3,120.17,207.82
97,4,120.63,208.32
98,0,120.31,208.59
98,1,119.64,209.69
98,2,120.05,207.8
98,3,119.83,208.99
98,4,120.03,206.71
99,0,120.58,207.72
99,1,119.48,208.38
99,2,119.78,208.2
99,3,120.43,208.89
99,4,119.8,209.48
100,0,120.65,208.9
100,1,119.55,209.08
100,2,119.65,208.9
100,3,120.19,208.79
100,4,120.26,208
101,0,119.79,209.08
101,1,119.3,207.41
101,2,119.59,210.17
101,3,118.74,207.89
101,4,120.51,209
102,0,119.44,209.2
102,1,119.36,208.7
102,2,120.11,208.31
102,3,119.38,208.1
102,4,119.49,208.59
103,0,118.88,208.71
103,1,119.78,209.79
103,2,119.69,207.22
103,3,119.69,208.52
103,4,119.26,207.71
104,0,119.22,207.82
104,1,119.82,208.9
104,2,119.57,208.31
104,3,119.34,208.01
104,4,119.78,208.22
105,0,119.19,208.32
105,1,119.08,207.75
105,2,119.71,208.73
105,3,119.67,207.83
105,4,119.46,207.76
106,0,119.81,208.24
106,1,119.42,207.75
106,2,119.25,206.65
106,3,119.85,207.26
106,4,119.06,208.55
107,0,119.22,206.88
107,1,119.67,208.07
107,2,119.43,206.87
107,3,119.62,207.97
107,4,119.2,208.56
108,0,119.38,206.89
108,1,119.57,206.89
108,2,119.53,207.29
108,3,119.14,207.38
108,4,119.18,205.72
109,0,119.7,208.68
109,1,118.72,206.8
109,2,119.67,207.51
109,3,118.66,207.29
109,4,119.17,206.62
110,0,119.47,208.39
110,1,119.24,207.5
110,2,119.36,207.2
110,3,119.56,207.7
110,4,119.78,207.69
111,0,119.37,206.51
111,1,119.71,207.81
111,2,119.11,206.81
111,3,118.97,207.31
111,4,119.81,207.51
112,0,119.7,206.83
112,1,119.57,206.42
112,2,119.57,207.42
112,3,119.3,207.11
112,4,119.35,206.83
113,0,120.08,207.62
113,1,118.61,207.12
113,2,119.06,206.93
113,3,119.04,206.81
113,4,119.1,207.63
114,0,119.68,206.52
114,1,119.97,207.72
114,2,118.79,207.21
114,3,119.27,205.93
114,4,119.77,208.19
115,0,119,206.42
115,1,119.83,207.53
115,2,119.14,207.71
115,3,119.5,208.21
115,4,119.28,206.72
116,0,120.46,208.2
116,1,119.66,206.13
116,2,119.5,206.72
116,3,120.06,207.6
116,4,119.39,204.65
117,0,120.06,206.93
117,1,119.32,206.43
117,2,119.93,206.23
117,3,119.75,207.13
117,4,120.57,206.05
118,0,119.42,206.64
118,1,119.85,206.94
118,2,120.26,206.83
118,3,119.6,205.48
118,4,120.33,206.84
119,0,119.73,206.25
119,1,119.63,206.06
119,2,119.33,207.53
119,3,119.21,207.14
119,4,120.12,205.76
120,0,119.42,206.96
120,1,119.86,207.35
120,2,119.89,206.17
120,3,120.83,206.75
120,4,119.98,205.57
121,0,120.49,205.69
121,1,119.89,207.73
121,2,120.4,206.77
121,3,120.33,205.87
121,4,120.02,206.76
122,0,119.46,206.26
122,1,120.78,205.09
122,2,120.48,206.95
122,3,120.78,204.38
122,4,119.92,205.28
123,0,120.25,205.77
123,1,120.94,205.29
123,2,120.09,206.09
123,3,120.45,205.27
123,4,120.42,204.98
124,0,120.46,204.9
124,1,120.71,206.27
124,2,119.88,205.08
124,3,121.02,205.19
124,4,119.92,205.36
125,0,120.12,206.18
125,1,120.46,205.87
125,2,121.18,204.69
125,3,120.07,204.57
125,4,120.4,205.71
126,0,120.27,205.66
126,1,120.77,204.61
126,2,120.74,205.67
126,3,120.32,205.17
126,4,120.49,204.71
127,0,121.05,204.49
127,1,120.71,204.79
127,2,120.72,204
127,3,121.04,205.8
127,4,120.26,204.99
128,0,121.52,203.93
128,1,120.52,205.87
128,2,120.64,204.29
128,3,121.3,204.91
128,4,119.89,204.78
129,0,120.77,204.31
129,1,121.01,204.4
129,2,120.91,204.81
129,3,120.53,204.38
129,4,120.59,204.84
130,0,120.53,205.78
130,1,121.25,203.63
130,2,121.46,205.31
130,3,120.1,205.09
130,4,121.76,205.3
131,0,120.73,204.22
131,1,121.9,203.82
131,2,120.79,205
131,3,120.77,204.93
131,4,121.49,204.2
132,0,121.21,203.94
132,1,121.88,205.23
132,2,120.99,203.71
132,3,121.61,204.83
132,4,121.35,204.23
133,0,120.88,204.42
133,1,121.56,204.03
133,2,121.99,203.75
133,3,121.16,204.1
133,4,121.93,203.65
134,0,121.92,203.72
134,1,121.39,203.61
134,2,121.5,204.01
134,3,121.67,205.41
134,4,121.46,204.9
135,0,122.57,204.8
135,1,122.23,205.4
135,2,120.9,205.27
135,3,122.14,203.91
135,4,121.4,205.17
136,0,121.8,203.27
136,1,122.26,205.79
136,2,121.19,204.08
136,3,121.85,205.37
136,4,122.21,204.08
137,0,121.44,205.88
137,1,121.74,204.15
137,2,121.53,205.19
137,3,121.57,203.63
137,4,121.71,204.56
138,0,121.99,205.85
138,1,121.58,204.72
138,2,122,204.75
138,3,121.71,204.86
138,4,122.43,204.03
139,0,121.59,205.13
139,1,122.11,203.75
139,2,121.71,205.83
139,3,121.66,203.35
139,4,122.39,205.55
140,0,121.24,205.13
140,1,121.04,205.95
140,2,121.85,206.15
140,3,121.79,205.05
140,4,121.66,204.93
141,0,121.4,205.85
141,1,121.78,205.71
141,2,121.82,205.04
141,3,122.1,205.74
141,4,120.76,205.24
142,0,122.11,204.94
142,1,121.6,205.03
142,2,121.55,204.41
142,3,121.9,205.14
142,4,121.73,206.34
143,0,121.44,203.6
143,1,121.69,205.94
143,2,120.64,204.72
143,3,121.44,203.32
143,4,120.84,205.45
144,0,120.92,203.4
144,1,121.29,205.32
144,2,120.96,203.69
144,3,121.14,204.82
144,4,120.37,204.3
145,0,120.81,206.54
145,1,120.72,205.18
145,2,121.22,204.61
145,3,120.67,205.51
145,4,121.03,204.31
146,0,120.54,206.21
146,1,120.7,204.99
146,2,120.89,206.21
146,3,119.75,205.59
146,4,121.67,206.41
147,0,120.9,206.4
147,1,121.08,204.91
147,2,120.98,206.21
147,3,120.02,205.7
147,4,120.34,205.58
148,0,120.47,206.01
148,1,120.52,207.2
148,2,120.56,205.58
148,3,121.09,207.7
148,4,119.95,205.58
149,0,121.24,206.2
149,1,120.39,206.78
149,2,119.82,203.86
149,3,119.79,205.88
149,4,120.07,205.88
150,0,120.04,206.87
150,1,120.04,205.58
150,2,119.91,206.77
150,3,119.94,205.25
150,4,120.4,207.27
151,0,119.97,206.44
151,1,119.91,205.96
151,2,119.62,206.95
151,3,120.09,207.65
151,4,119.25,207.05
152,0,120,206.65
152,1,120.19,208.35
152,2,118.99,206.63
152,3,119.83,207.55
152,4,119.69,208.23
153,0,120.02,207.14
153,1,119.31,207.82
153,2,118.76,207.02
153,3,118.95,207.62
153,4,119.57,207.32
154,0,119.09,208.41
154,1,118.36,205.82
154,2,119.23,208.62
154,3,118.71,208.11
154,4,119,207.81
155,0,119.12,208.6
155,1,118.77,208.61
155,2,119.19,207.31
155,3,118.83,208.41
155,4,118.76,207.21
156,0,118.08,207.91
156,1,118.6,209.5
156,2,118.2,208.71
156,3,119.02,208.92
156,4,118.2,209.3
157,0,118.54,207.72
157,1,118.14,208.51
157,2,117.93,208.02
157,3,118.15,208.71
157,4,118.63,208.62
158,0,118.32,209.7
158,1,118.3,208.92
158,2,118.2,209.62
158,3,119.12,209.6
158,4,118.63,208.72
159,0,118.62,208.02
159,1,118.79,209.1
159,2,117.75,208.8
159,3,118.72,208.41
159,4,117.97,209.69
160,0,117.36,208.51
160,1,118.77,209.41
160,2,117.72,208.5
160,3,118.18,207.33
160,4,117.79,209.1
161,0,118.12,208.71
161,1,118.09,208.7
161,2,118.59,208.8
161,3,116.66,209.5
161,4,117.51,207.44
162,0,117.94,210.39
162,1,117.2,208.01
162,2,117.86,208.51
162,3,117.75,209.9
162,4,117.87,208.82
163,0,117.64,208.52
163,1,117.38,210.3
163,2,117.78,209.42
163,3,117.75,208.84
163,4,117.61,209.61
164,0,117.81,209.43
164,1,118.21,209.53
164,2,117.07,208.74
164,3,117.6,209.05
164,4,116.47,209.94
165,0,118.06,210.03
165,1,116.77,209.04
165,2,117.46,208.27
165,3,116.51,210.32
165,4,117.42,209.15
166,0,117.73,209.24
166,1,117.22,209.44
166,2,116.64,209.76
166,3,117.33,209.74
166,4,117.39,210.04
167,0,116.76,209.15
167,1,117.43,209.35
167,2,116.78,209.74
167,3,116.46,207.77
167,4,117.22,210.53
168,0,116.16,210.13
168,1,117.64,210.53
168,2,117.33,210.43
168,3,117.14,210.13
168,4,117.09,209.75
169,0,117.4,210.13
169,1,116.26,208.94
169,2,116.48,209.06
169,3,116.73,211.59
169,4,116.67,209.94
170,0,117.35,210.82
170,1,116.48,210.72
170,2,116.42,210.42
170,3,116.66,211.02
170,4,116.61,209.54
171,0,116.58,209.72
171,1,116.13,211.2
171,2,115.77,210.69
171,3,115.74,209.53
171,4,116.46,210.61
172,0,115.37,209.93
172,1,116.25,210.9
172,2,115.77,209.33
172,3,116.11,211.18
172,4,115.13,211.29
173,0,116.51,210.79
173,1,116.1,211.47
173,2,115.51,210.31
173,3,116.32,212.06
173,4,115.55,211.57
174,0,115.73,210.88
174,1,115.55,211.18
174,2,115.17,211.77
174,3,115.61,211.09
174,4,116.38,211.57
175,0,114.91,212.66
175,1,115.64,211.09
175,2,115.54,212.84
175,3,115.25,210.7
175,4,115.36,212.55
176,0,114.2,211.87
176,1,114.77,212.28
176,2,115.32,213.06
176,3,115.59,212.75
176,4,115.2,212.18
177,0,115.67,211.76
177,1,115.04,212.75
177,2,114.39,211.89
177,3,114.69,213.16
177,4,113.8,212.48
