Frame, SubFrame, COPx(mm), COPy(mm)
1,0,120.29,234.16
1,1,120.42,235.97
1,2,119.81,234.58
1,3,120.51,234.86
1,4,119.89,236.12
2,0,120.35,234.72
2,1,120.83,234.93
2,2,119.32,235.23
2,3,119.84,235.43
2,4,120.12,235.36
3,0,120.61,234.98
3,1,120.19,235.02
3,2,120.5,235.87
3,3,120.52,234.59
3,4,120.95,234.37
4,0,120.44,234.95
4,1,120.15,234.61
4,2,119.98,235.32
4,3,120.03,234.39
4,4,120.67,235.63
5,0,120.19,234.13
5,1,120.17,234.87
5,2,119.86,234.53
5,3,120.46,234.5
5,4,120.78,234.68
6,0,120.76,234.48
6,1,119.99,234.13
6,2,120.06,234.79
6,3,120.49,236.24
6,4,120.19,233.83
7,0,120.4,234.39
7,1,119.12,234.99
7,2,119.74,234.47
7,3,120.2,235.48
7,4,120.46,234.2
8,0,119.9,234.07
8,1,120.3,235.05
8,2,119.85,234.99
8,3,120.17,233.99
8,4,120.58,234.54
9,0,119.55,235.27
9,1,120.34,233.3
9,2,119.86,234.85
9,3,120.27,234.22
9,4,120.38,234.74
10,0,120.11,233.48
10,1,120.02,234.82
10,2,119.36,233.19
10,3,120.38,234.15
10,4,119.91,234.28
11,0,119.94,233.59
11,1,119.75,234.33
11,2,120.33,234.33
11,3,120.3,233.79
11,4,120.56,233.4
12,0,119.59,234.79
12,1,119.59,233.31
12,2,121.08,235.07
12,3,119.41,234.21
12,4,119.82,234.56
13,0,120.15,235.69
13,1,120.37,234.61
13,2,119.65,232.22
13,3,120,234.01
13,4,119.29,234.4
14,0,120.01,233.57
14,1,106.67,237.76
14,2,119.69,233.68
14,3,120.59,234.57
14,4,119.78,234.04
15,0,120.04,233.68
15,1,119.65,233.28
15,2,119.77,233.15
15,3,119.52,234.12
15,4,119.45,232.37
16,0,119.62,234.88
16,1,119.97,234.04
16,2,119.96,233.46
16,3,119.72,233.32
16,4,119.12,233.68
17,0,119.11,233.82
17,1,120.17,234.13
17,2,119.46,233.85
17,3,119.71,232.88
17,4,119.76,235.81
18,0,119.36,232.6
18,1,120.36,233.4
18,2,118.8,234.07
18,3,119.07,233.56
18,4,119.59,233.14
19,0,119.23,235.02
19,1,119.22,233.43
19,2,119.42,234.73
19,3,119.11,234.69
19,4,118.89,233.25
20,0,119.49,234.54
20,1,118.98,234.51
20,2,119.35,233.78
20,3,119.13,233.51
20,4,119.33,234.2
21,0,119.09,233.85
21,1,119.07,233.41
21,2,118.61,234.07
21,3,118.3,233.6
21,4,119.07,234.43
22,0,118.79,233.76
22,1,118.53,234.3
22,2,118.69,234.13
22,3,119.09,234.61
22,4,118.5,233.88
23,0,119.22,233.87
23,1,118.71,234.87
23,2,118.47,232.27
23,3,119.21,234.9
