Frame, SubFrame, COPx(mm), COPy(mm)
1,0,106.36,220.22
1,1,105.99,220.63
1,2,106.01,219.39
1,3,107.18,220.66
1,4,106.14,220.28
2,0,107.01,220.73
2,1,106.97,221.21
2,2,107.44,219.64
2,3,106.98,220.91
2,4,106.95,220.38
3,0,106.77,219.84
3,1,107.4,220.72
3,2,107.13,221.03
3,3,106.84,220
3,4,107.73,220.19
4,0,107.52,219.55
4,1,106.72,219.88
4,2,107.52,219.56
4,3,107.36,219.49
4,4,106.8,220.24
5,0,106.92,220.27
5,1,107.35,220.67
5,2,106.91,218.72
5,3,108.11,220.42
5,4,106.58,219.9
6,0,107.32,219.08
6,1,108.11,220.54
6,2,107.53,219
6,3,106.67,220.28
6,4,107.04,219.39
7,0,107.41,220.94
7,1,107.32,219.13
7,2,107.93,220.43
7,3,106.6,219.24
7,4,108.15,219.75
8,0,107.79,220.71
8,1,107.27,218.74
8,2,107.69,220.02
8,3,107.53,219.78
8,4,107.64,219.63
9,0,107.19,218.83
9,1,107.96,219.76
9,2,106.94,219.86
9,3,107.61,219.59
9,4,107.05,220.16
10,0,107.07,218.86
10,1,107.17,219.54
10,2,107.36,218.82
10,3,107.27,219.62
10,4,107.41,218.94
11,0,108.08,219.31
11,1,107.88,218.67
11,2,108.1,219.67
11,3,107.64,219.45
11,4,107.6,218.95
12,0,108.09,219.25
12,1,107.94,218.23
12,2,107.49,219.45
12,3,108.31,218.25
12,4,108.16,220.13
13,0,107.39,217.98
13,1,108.87,219.92
13,2,107.56,219.14
13,3,108.1,219.15
13,4,108.25,219.34
14,0,107.82,218.3
14,1,107.68,217.97
14,2,107.98,218.25
14,3,107.68,218.57
14,4,107.37,217.83
15,0,108.26,218.58
15,1,107.3,218.1
15,2,107.63,218.29
15,3,107.58,218.19
15,4,108.88,218.26
16,0,107.71,218.02
16,1,107.7,218.15
16,2,107.71,218.31
16,3,107.72,217.91
16,4,108.52,218.77
17,0,107.88,218.51
17,1,108.17,218.67
17,2,108.95,219.41
17,3,107.5,218.09
17,4,108.22,218.28
18,0,107.99,218.96
18,1,107.41,218.78
18,2,107.3,217.92
18,3,107.85,218.64
18,4,107.88,217.62
