Frame, SubFrame, COPx(mm), COPy(mm)
1,0,108.1,230.18
1,1,108.05,231.56
1,2,108.25,230.37
1,3,107.46,230.96
1,4,107.55,230.63
2,0,107.81,231.73
2,1,107.45,231.29
2,2,108.53,232.06
2,3,107.58,231.02
2,4,107.77,230.58
3,0,108.2,232.32
3,1,107.64,232.01
3,2,108.14,232.06
3,3,108.16,231.01
3,4,107.91,232.41
4,0,107.96,231.32
4,1,108.71,231.61
4,2,107.76,231.16
4,3,107.82,231.75
4,4,108.2,232.91
5,0,108,231.43
5,1,107.42,232.01
5,2,108.87,232.39
5,3,107.64,232.76
5,4,108.08,231.81
6,0,108.54,233.39
6,1,107.62,230.97
6,2,107.82,233.2
6,3,108.16,232.34
6,4,107.38,231.76
7,0,107.72,232.98
7,1,107.71,231.94
7,2,107.24,232.16
7,3,107.58,231.76
7,4,108.01,233.65
8,0,106.81,231.61
8,1,107.86,232.57
8,2,107.52,232.83
8,3,107.01,233.1
8,4,108.18,233.19
9,0,108.03,232.88
9,1,108.18,232.6
9,2,107.51,232.83
9,3,107.91,233.4
9,4,107.58,232.05
10,0,108.53,232.78
10,1,107.62,232.46
10,2,107.62,232.76
10,3,108.24,232.86
10,4,107.54,233.59
11,0,107.32,232.38
11,1,107.91,232.54
11,2,107.68,233.01
11,3,107.1,230.89
11,4,108.84,234.78
12,0,106.83,231.26
12,1,108.52,231.45
12,2,106.77,233.13
12,3,107.43,231.56
12,4,107.34,233.12
13,0,107.63,232.32
13,1,106.63,232.64
13,2,107.04,232.62
13,3,107.84,233.95
13,4,107.23,231.56
14,0,107.78,233.4
14,1,107.74,233.27
14,2,107.19,232.05
14,3,107.37,231.9
14,4,108.01,232.02
15,0,107,233.24
15,1,106.72,231.99
15,2,108.15,232.95
15,3,106.9,232.14
15,4,107.63,232.32
16,0,107.38,231.31
16,1,107.78,232.8
16,2,107.62,230.68
16,3,107.55,232.25
16,4,107.52,231.64
17,0,108,230.54
17,1,107.36,233.45
17,2,106.35,231.36
17,3,107.87,231.99
17,4,107.14,231.52
18,0,107.38,231.93
18,1,107.05,231.89
18,2,106.87,232.34
18,3,106.98,232.37
18,4,107.25,231.76
19,0,106.6,232.54
19,1,106.64,231.3
19,2,107.44,231.75
19,3,106.61,232.23
19,4,107.48,231.69
20,0,106.72,232.03
20,1,107.58,231.93
20,2,106.32,233.05
20,3,107.46,231.76
20,4,107.56,232.53
21,0,106.53,232.16
21,1,106.72,232.17
21,2,106.43,233.12
21,3,107.11,232.75
21,4,106.79,231.67
22,0,106.56,233.49
22,1,105.9,231.75
22,2,106.93,230.98
22,3,106.47,232.63
22,4,106.59,231.52
23,0,106.47,232.38
23,1,106.34,231.69
23,2,106.6,232.57
23,3,106.47,231.92
23,4,106.24,232.7
24,0,106.25,232.54
24,1,107.07,232.07
24,2,105.69,233.27
24,3,106.81,231.81
24,4,106.1,232.37
25,0,104.99,232.03
25,1,106.46,232.4
25,2,106.26,232.85
25,3,106.47,232.07
25,4,106.1,232.23
26,0,106.57,232.34
26,1,106.2,233.03
26,2,106.04,231.27
26,3,106.31,231.03
26,4,106.14,232.21
27,0,106.1,231.67
27,1,106.47,231.23
27,2,106.43,232.74
27,3,105.98,231
27,4,105.97,231.92
28,0,105.56,231.48
28,1,106.39,230.41
28,2,105.77,232.67
28,3,105.86,231.12
28,4,106.49,230.5
29,0,105.25,231.61
29,1,105.62,232.49
29,2,105.31,231.24
29,3,106.54,231.65
29,4,105.39,231.93
30,0,105.56,230.95
30,1,105.14,232.42
30,2,105.5,230.53
30,3,104.77,231.54
30,4,105.17,232.14
31,0,105.25,231.62
31,1,105.5,230.84
31,2,105.74,230.77
31,3,105.13,231.99
31,4,105.24,231.04
32,0,105.44,232.32
32,1,105.22,232.08
32,2,105.24,231.45
32,3,105.58,231.04
32,4,105.12,232.3
33,0,104.31,230.06
33,1,105.34,232.12
33,2,104.94,231.07
33,3,105.34,231.68
33,4,103.9,231.29
34,0,105.21,232.21
34,1,104.98,230.58
34,2,105.44,231.29
34,3,104.55,230.76
34,4,104.09,230.24
35,0,105.12,232.44
35,1,104.06,231.13
35,2,104.9,230.84
35,3,103.6,232.26
35,4,104.23,230.58
36,0,103.45,230.42
36,1,104.48,230.54
36,2,104.05,231.18
36,3,103.6,230.51
36,4,104.19,231.35
37,0,103.19,231.11
37,1,103.21,231.4
37,2,103.91,231.29
37,3,103.68,230.17
37,4,103.85,230.01
38,0,104.45,231.52
38,1,103.6,230.64
38,2,103.49,229.88
38,3,103.17,232.22
38,4,103.12,231.06
39,0,104.19,231.29
39,1,102.96,230.72
39,2,103.34,229.54
39,3,103.4,231.29
39,4,103.25,231.59
40,0,102.79,230.38
40,1,103.74,231.08
