Frame, SubFrame, COPx(mm), COPy(mm)
1,0,100.74,217.61
1,1,100.1,217.08
1,2,100.58,218.39
1,3,100.66,219.18
1,4,100.15,217.22
2,0,100.87,218.47
2,1,100.14,218.4
2,2,100.16,217.47
2,3,99.948,217.81
2,4,100.67,218.66
3,0,100.46,216.92
3,1,100.51,218.18
3,2,99.685,217.89
3,3,100.03,216.61
3,4,100.1,218.9
4,0,100.3,216.89
4,1,100.3,217.74
4,2,99.384,217.87
4,3,99.791,218.35
4,4,99.777,216.91
5,0,100.47,217.48
5,1,99.309,217.88
5,2,99.299,217.09
5,3,99.841,217.75
5,4,99.519,217.48
6,0,100.31,217.96
6,1,99.612,218.23
6,2,99.548,217.66
6,3,99.375,217.59
6,4,100.51,217.54
7,0,98.919,218.27
7,1,99.996,216.2
7,2,100.1,218.25
7,3,99.313,216.14
7,4,100.18,217.65
8,0,99.365,217.3
8,1,100.11,217.67
8,2,99.171,217.01
8,3,99.488,218.16
8,4,99.903,216.23
9,0,99.961,216.24
9,1,99.866,218.09
9,2,99.151,216.16
9,3,100.24,217.2
9,4,100.06,217.19
10,0,99.381,216.82
10,1,99.149,217.3
10,2,100,217.1
10,3,99.049,216.54
10,4,100.19,216.81
11,0,99.665,217.71
11,1,99.532,216.65
11,2,99.577,218.18
11,3,99.583,216.24
11,4,100.03,216.9
12,0,99.879,217.01
12,1,100.21,217.49
12,2,98.929,215.57
12,3,99.679,216.41
12,4,99.073,216.54
13,0,99.325,215.76
13,1,99.793,217
13,2,98.995,216.06
13,3,99.789,215.36
13,4,99.904,217.41
14,0,99.456,217.43
14,1,99.42,216.16
14,2,99.57,216.33
14,3,99.36,215.59
14,4,99.56,215.78
15,0,99.36,217.78
15,1,99.49,215.85
15,2,100.55,216.43
15,3,99.671,216.47
15,4,99.528,216.49
16,0,99.262,215.68
16,1,99.699,216.94
16,2,99.354,215.21
16,3,100.15,215.75
16,4,99.7,216.87
17,0,99.43,214.99
17,1,100.07,216.44
17,2,99.58,215.96
17,3,100.16,215.67
17,4,100.07,215.58
18,0,100.05,217.03
18,1,99.317,214.61
18,2,100.53,215.1
18,3,99.773,215.67
18,4,99.422,214.13
19,0,100.39,216.04
19,1,99.662,214.39
19,2,100.7,214.11
19,3,99.891,214.6
19,4,100.15,215.39
20,0,99.757,214.62
20,1,100.99,214.38
20,2,100.3,214.69
20,3,100.34,213.62
20,4,100.21,214.79
21,0,99.979,214.22
21,1,100.08,213.92
21,2,100.28,214.22
21,3,100.58,215.38
21,4,100.05,213.75
22,0,100.71,215.68
22,1,100.72,213.53
22,2,100.86,212.86
22,3,100.72,215
22,4,100.29,214.05
23,0,100.35,213.74
23,1,101.39,214.12
23,2,101.32,214.22
23,3,100.42,214.04
23,4,101.33,214.81
24,0,101.01,213.94
24,1,101.33,213.36
24,2,100.93,214.81
