Frame, SubFrame, COPx(mm), COPy(mm)
1,0,120.63,229.37
1,1,120.17,227.83
1,2,120.87,229.47
1,3,120.73,227.66
1,4,121.46,228.71
2,0,120.21,229.28
2,1,120.29,228.14
2,2,120.65,228.32
2,3,120.72,229.45
2,4,120.64,228.18
3,0,120.85,229.5
3,1,120.37,228.11
3,2,120.89,228.29
3,3,119.78,229.45
3,4,119.8,226.92
4,0,120.92,229.77
4,1,120.26,229.09
4,2,120.97,228.68
4,3,120.37,228.7
4,4,120.5,228.45
5,0,119.87,228.95
5,1,120.36,229.46
5,2,119.71,229.68
5,3,121.11,228.13
5,4,120.16,229.32
6,0,120.94,228.87
6,1,119.95,230.09
6,2,119.81,228.26
6,3,120.44,228.93
6,4,120.59,229.72
7,0,120.05,229.12
7,1,121.19,228.67
7,2,120.95,229.15
7,3,120.43,228.08
7,4,120.48,229.68
8,0,119.47,228.7
8,1,120.36,228.56
8,2,120.47,230.13
8,3,120.33,228.74
8,4,121.58,229.39
9,0,120.67,228.64
9,1,119.98,229.62
9,2,120.77,229.58
9,3,120.38,228.85
9,4,120.97,228.39
10,0,120.25,229.57
10,1,120.47,227.76
10,2,120.96,229.15
10,3,120.68,228.64
10,4,119.97,230.07
11,0,120.25,227.48
11,1,120.43,228.97
11,2,120.66,228.34
11,3,120.58,229
11,4,119.74,228.49
12,0,120.82,228.65
12,1,120.42,228.39
12,2,119.93,229.05
12,3,120.88,229.94
12,4,120.56,229.17
13,0,120.26,227.76
13,1,120.93,228.87
13,2,120.57,228.87
13,3,120.25,228.94
13,4,120.17,229.64
14,0,120.58,229.89
14,1,120.8,230.16
14,2,120.2,228.41
14,3,121.32,229.16
14,4,121.07,227.73
15,0,120.41,229.14
15,1,120.22,228.68
15,2,120.41,230.01
15,3,120.02,229.32
15,4,121.1,230.34
16,0,119.86,228.98
16,1,121.34,229.59
16,2,120.18,229.04
16,3,120.16,230.21
16,4,120.54,227.99
17,0,120.72,230.06
17,1,120.29,229.09
17,2,121.17,229.41
17,3,120.09,228.35
17,4,120.51,229.51
18,0,120.87,229.49
18,1,120.47,228.64
18,2,120.27,228.93
18,3,120.7,228.91
18,4,120.63,229.39
19,0,120.81,228.36
19,1,120.66,229.69
19,2,119.66,229.29
19,3,120.58,229.88
19,4,120.11,228.78
20,0,120.55,229.32
20,1,120.15,229.51
20,2,121.03,228.8
20,3,120.78,229.44
20,4,119.63,228.43
21,0,119.37,230.09
21,1,120.06,229.42
21,2,119.99,228.89
21,3,120.15,229.05
21,4,120.11,229.53
22,0,120.35,228.92
22,1,119.88,229.26
22,2,119.39,229.21
22,3,119.24,230.36
22,4,119.82,229.31
23,0,119.82,229.16
23,1,119.77,229.64
23,2,119.93,229.24
23,3,119.65,229.61
23,4,120.03,228.54
24,0,119.61,229.34
24,1,119.1,230.48
24,2,119.88,229.56
24,3,120,228.87
24,4,120.44,229.55
25,0,119.97,229.35
25,1,119.59,228.9
25,2,119.61,227.84
25,3,119.89,229.26
25,4,119.45,229.76
26,0,119.85,229.29
26,1,119.92,227.16
26,2,119.52,229.52
26,3,119.73,229.23
26,4,120.17,229.93
27,0,119.93,229.06
27,1,119.81,229.31
27,2,119.29,229
27,3,119.89,228.65
27,4,119.66,229
28,0,119.24,230.2
28,1,118.93,229.56
28,2,119.56,229.5
28,3,119.41,230.37
28,4,119.13,229.57
29,0,119.25,229.74
29,1,119.55,228.04
29,2,119.36,229.37
29,3,118.8,229.66
29,4,119.45,229.73
30,0,119.49,229.42
30,1,119.55,231.71
30,2,119.47,229.16
30,3,119.9,230.42
30,4,119.03,229.92
31,0,119.33,229.69
31,1,118.73,230.01
31,2,119.85,231.05
31,3,119.32,228.97
31,4,119.44,230.48
32,0,119.33,229.7
32,1,120.06,230.44
32,2,119.36,229.36
32,3,119.52,229.98
32,4,119.54,231.16
33,0,119.4,230.53
33,1,119.86,230.45
33,2,119.45,230.59
33,3,120.15,230.81
33,4,119.43,229.91
34,0,119.8,230.48
34,1,119.58,230.08
34,2,119.71,231.46
34,3,119.45,229.76
34,4,119.81,229.74
35,0,118.97,230.86
35,1,119.15,231.45
35,2,119.11,231.18
35,3,119.8,231.37
35,4,119.52,230.43
36,0,119.24,230.62
36,1,119.84,231.19
36,2,119.87,229.53
36,3,118.12,231.65
36,4,118.81,230.38
37,0,119.63,231.37
37,1,119.43,230.18
37,2,119.3,231.31
37,3,119.71,230.57
37,4,119.88,231.19
38,0,119.54,230.13
38,1,118.38,231.47
38,2,118.42,230.26
38,3,120.04,232.24
38,4,118.57,230.44
39,0,118.88,230.79
39,1,119.26,231.22
39,2,118.88,230.79
39,3,118.79,230.41
39,4,118.4,230.27
40,0,118.76,230.15
40,1,119.11,231.66
40,2,117.85,231.6
40,3,118.66,230.09
40,4,118.81,231.88
41,0,118.25,231.02
41,1,118.63,231.12
41,2,118.41,231.16
41,3,117.86,231.02
41,4,117.94,230.2
42,0,118.17,230.9
42,1,117.93,229.04
42,2,118.56,231.37
42,3,118.17,230.03
42,4,118.97,230.74
43,0,118.24,230.57
43,1,118.63,230.58
43,2,118.01,229.71
43,3,117.66,230.57
43,4,117.56,229.64
44,0,118.3,230.95
