Frame, SubFrame, COPx(mm), COPy(mm)
1,0,-28.048,207.71
1,1,-29.397,208.17
1,2,-28.641,205.95
1,3,-26.619,207.59
1,4,-29.395,207.99
2,0,-27.403,207.89
2,1,-29.32,208.56
2,2,-28.705,205.83
2,3,-27.47,206.22
2,4,-29.51,207.57
3,0,-27.835,207.71
3,1,-28.168,206.01
3,2,-28.441,205.63
3,3,-26.654,207.39
3,4,-27.061,206.12
4,0,-27.116,207.98
4,1,-27.527,206.8
4,2,-28.735,207.41
4,3,-27.789,206.24
4,4,-27.617,207.2
5,0,-29.005,207.8
5,1,-27.521,207.5
5,2,-27.763,207.01
5,3,-27.493,208.08
5,4,-27.684,205.36
6,0,-27.981,207.79
6,1,-27.911,207.59
6,2,-27.809,206.8
6,3,-29.005,206.83
6,4,-28.646,206.9
7,0,-27.701,207.32
7,1,-27.771,207.78
7,2,-28.418,205.27
7,3,-27.523,206.71
7,4,-27.43,205.65
8,0,-27.214,206.53
8,1,-27.3,208.09
8,2,-27.488,208.09
8,3,-28.311,206.93
8,4,-28.987,207.88
9,0,-27.836,207.5
9,1,-27.299,208.28
9,2,-28.56,206.43
9,3,-27.434,207.79
9,4,-27.597,206.23
10,0,-28.376,206.62
10,1,-27.192,207.4
10,2,-28.865,208.47
10,3,-28.223,207.33
10,4,-28.529,207.99
11,0,-29.279,206.72
11,1,-27.165,208.96
11,2,-28.02,207.79
11,3,-28.65,206.52
11,4,-27.71,207.02
12,0,-27.938,206.51
12,1,-27.352,206.26
12,2,-27.47,208.07
12,3,-28.448,206.83
12,4,-27.417,207.41
13,0,-28.015,206.33
13,1,-27.29,208.09
13,2,-27.405,206.24
13,3,-29.238,205.34
13,4,-27.882,204.95
14,0,-27.372,205.73
14,1,-28.234,205.07
14,2,-28.266,207.69
14,3,-28.898,204.85
14,4,-26.56,207.22
15,0,-28.016,205.15
15,1,-28.24,207.99
15,2,-28.482,206.82
15,3,-28.065,206.44
15,4,-27.788,205.26
16,0,-27.974,207.12
16,1,-27.853,206.55
16,2,-26.891,206.92
16,3,-28.174,205.54
16,4,-26.168,207.32
17,0,-26.811,206.33
17,1,-27.322,205.84
17,2,-28.183,207.12
17,3,-28.067,206.53
17,4,-27.309,206.76
18,0,-27.587,205.26
18,1,-27.796,205.55
18,2,-26.665,207.71
18,3,-28.948,205.97
18,4,-27.034,206.75
19,0,-28.04,205.26
19,1,-27.34,206.45
19,2,-26.817,206.83
19,3,-27.726,207.42
19,4,-28.133,206.23
20,0,-27.042,206.15
20,1,-27.603,204.87
20,2,-25.898,206.93
20,3,-27.864,205.37
20,4,-26.495,205.87
21,0,-26.42,206.34
21,1,-26.616,204.67
21,2,-26.732,205.97
21,3,-27.126,207.01
21,4,-26.994,205.38
22,0,-26.676,206.44
22,1,-28.322,205.28
22,2,-27.061,205.37
22,3,-29.019,206.65
22,4,-26.911,203.43
23,0,-27.645,204.98
23,1,-28.359,205.77
23,2,-27.202,204.6
23,3,-27.283,205.76
23,4,-28.35,204.69
24,0,-25.912,206.55
24,1,-27.536,206.34
24,2,-26.962,206.07
24,3,-28.301,205.19
24,4,-27.642,206.17
25,0,-28.028,205.07
25,1,-28.654,206.35
25,2,-28.772,205.7
25,3,-27.703,205.89
25,4,-27.864,204.69
26,0,-25.837,206.29
26,1,-27.409,204.9
26,2,-27.208,206.28
26,3,-27.122,206.75
26,4,-26.623,205.89
27,0,-28.585,204.11
27,1,-26.439,204.12
27,2,-27.451,204.39
27,3,-26.368,206.47
27,4,-28.173,203.01
28,0,-26.924,204.42
28,1,-26.107,204.69
28,2,-26.378,204.9
28,3,-28.215,205.78
28,4,-27.323,206.18
29,0,-27.836,206.18
29,1,-27.687,205.1
29,2,-28.215,204.82
29,3,-28.172,206.58
29,4,-27.9,205.68
30,0,-26.488,205.21
30,1,-27.197,205.11
30,2,-26.982,204.03
30,3,-28.109,205.39
30,4,-26.83,204.99
31,0,-27.396,204.52
31,1,-27.501,204.21
31,2,-28.327,204.01
31,3,-26.186,204.84
31,4,-27.827,204.9
32,0,-26.341,204.71
32,1,-27.56,204.32
32,2,-27.503,204.63
32,3,-26.897,204.73
32,4,-27.111,205.49
33,0,-28.747,205.49
33,1,-27.224,205.71
33,2,-28.826,205.2
33,3,-27.441,205.24
33,4,-27.391,204.69
34,0,-27.776,204.81
34,1,-26.9,205
34,2,-26.812,204.41
34,3,-27.064,205.19
34,4,-26.197,205.4
35,0,-27.15,205.57
35,1,-25.884,206.09
35,2,-27.777,204.9
35,3,-26.38,205.21
35,4,-26.784,206.65
36,0,-26.824,203.82
36,1,-26.827,204.4
36,2,-26.116,205.06
36,3,-26.795,203.43
36,4,-26.556,205.12
37,0,-27.418,204.4
37,1,-26.186,205.21
37,2,-26.399,206.37
37,3,-27.263,203.82
37,4,-26.824,206.64
38,0,-26.332,205.79
38,1,-29.18,204.18
38,2,-26.776,205.09
38,3,-27.926,203
38,4,-27.718,204.12
39,0,-27.901,204.58
39,1,-26.554,205.8
39,2,-27.639,203.89
39,3,-26.858,205.11
39,4,-26.571,205.66
40,0,-26.981,208.01
40,1,-27.822,205.09
40,2,-27.272,204.99
40,3,-27.665,205.27
