Frame, SubFrame, COPx(mm), COPy(mm)
1,0,-21.407,202.89
1,1,-21.736,204.78
1,2,-21.732,203.09
1,3,-21.056,204.67
1,4,-22.111,203.02
2,0,-21.904,205.57
2,1,-20.943,204
2,2,-21.644,204.19
2,3,-22.408,202.9
2,4,-22.181,204.31
3,0,-21.692,204.31
3,1,-21.427,202.91
3,2,-21.377,204.51
3,3,-21.522,202.71
3,4,-20.492,205.19
4,0,-22.937,203.81
4,1,-21.352,204.21
4,2,-22.727,203.13
4,3,-21.351,204.51
4,4,-21.307,204.32
5,0,-22.279,203.67
5,1,-21.58,203
5,2,-22.538,203.72
5,3,-21.107,204.41
5,4,-22.034,203.8
6,0,-21.689,204.12
6,1,-22.178,204.13
6,2,-21.164,203.43
6,3,-21.334,202.23
6,4,-22.979,203.2
7,0,-20.932,204.04
7,1,-21.088,203.59
7,2,-20.991,203.53
7,3,-21.668,204.5
7,4,-21.817,203.73
8,0,-21.206,204.1
8,1,-21.483,203.32
8,2,-22.092,203.68
8,3,-21.963,203.71
8,4,-22.612,204.49
9,0,-21.775,203.9
9,1,-21.98,203.03
9,2,-21.488,204.6
9,3,-22.131,202.56
9,4,-20.813,203.92
10,0,-22.406,203.01
10,1,-21.983,203.64
10,2,-20.592,203.72
10,3,-22.929,201.91
10,4,-20.433,204.04
11,0,-23.137,204.11
11,1,-21.179,203.33
11,2,-23.078,203.69
11,3,-21.148,204.92
11,4,-21.071,202.73
12,0,-20.851,203.74
12,1,-23.376,201.83
12,2,-21.897,203.03
12,3,-20.804,202.85
12,4,-23.309,201.22
13,0,-22.066,202.96
13,1,-22.475,204.19
13,2,-20.062,203.15
13,3,-21.476,204.12
13,4,-21.95,202.63
14,0,-22.468,203.73
14,1,-20.971,204.88
14,2,-23.059,200.72
14,3,-22.608,203.78
14,4,-23.967,202.03
15,0,-21.475,205.6
15,1,-21.435,203.12
15,2,-22.33,204.49
15,3,-23.352,203.93
15,4,-22.372,204.5
16,0,-22.379,203.92
16,1,-22.32,203.12
16,2,-22.182,204.61
16,3,-23.432,202.52
