Frame, SubFrame, COPx(mm), COPy(mm)
1,0,-26.171,218.32
1,1,-24.592,219.03
1,2,-24.735,219.61
1,3,-25.803,217.11
1,4,-24.735,219.13
2,0,-25.428,218
2,1,-25.427,219.13
2,2,-25.329,217.7
2,3,-25.428,219
2,4,-25.087,219.61
3,0,-25.688,219.18
3,1,-24.611,219.95
3,2,-26.488,218.32
3,3,-25.204,219.98
3,4,-25.387,218.44
4,0,-25.313,219.62
4,1,-25.76,219.56
4,2,-26.407,218.57
4,3,-25.719,216.52
4,4,-25.157,218.74
5,0,-25.744,219.54
5,1,-25.548,218.33
5,2,-23.498,218.82
5,3,-25.783,216.54
5,4,-24.99,220.7
6,0,-25.042,218.95
6,1,-24.406,219.15
6,2,-24.882,219.62
6,3,-24.902,218.77
6,4,-25.616,219.5
7,0,-24.961,218.7
7,1,-24.549,218.83
7,2,-26.382,218.69
7,3,-24.645,218.25
7,4,-26.649,217.92
8,0,-24.682,219.51
8,1,-25.954,217.24
8,2,-25.557,217.52
8,3,-25.219,219.14
8,4,-25.203,217.53
9,0,-24.121,219.84
9,1,-25.869,219.32
9,2,-24.979,217.87
9,3,-26.392,219.88
9,4,-24.792,218.18
10,0,-25.299,218.31
10,1,-26.75,220.26
10,2,-25.686,220.05
10,3,-26.282,218.36
10,4,-23.934,217.84
11,0,-25.858,218.64
11,1,-25.42,218.41
11,2,-25.399,220.3
11,3,-24.29,217.04
11,4,-24.743,218.47
12,0,-24.584,220.16
12,1,-25.288,218.38
12,2,-25.325,219.66
12,3,-24.983,216.82
12,4,-24.839,218.75
13,0,-25.669,218.31
13,1,-24.24,218.56
13,2,-25.52,219.46
13,3,-24.407,218.97
13,4,-24.156,219.14
14,0,-25.333,218.3
14,1,-25.418,218.89
14,2,-25.091,218.48
14,3,-24.052,221.11
14,4,-25.589,216.53
15,0,-25.263,219.43
15,1,-24.857,219.47
15,2,-24.862,219.35
15,3,-24.51,218.33
15,4,-26.22,218.33
16,0,-23.728,217.6
16,1,-25.555,217.9
16,2,-25.241,217.14
16,3,-26.111,218.58
16,4,-24.738,219.72
17,0,-25.406,218.68
17,1,-24.508,218.84
17,2,-25.052,220.38
17,3,-25.332,218.18
17,4,-24.671,220.26
18,0,-27.042,217.8
18,1,-25.126,219.24
18,2,-26.708,218.35
18,3,-25.177,219.3
18,4,-25.123,218.1
19,0,-24.643,221.25
19,1,-25.229,219.74
19,2,-24.862,219.39
19,3,-24.269,219.95
19,4,-26.101,219.24
20,0,-24.108,219.7
20,1,-25.65,219.82
20,2,-24.528,219.5
20,3,-25.573,220.22
20,4,-24.406,219.14
21,0,-25.145,219.98
21,1,-24.508,219.5
21,2,-24.802,218.16
21,3,-25.991,219.76
21,4,-25.475,218.19
22,0,-24.769,218.98
22,1,-25.397,219.26
22,2,-25.113,219.27
22,3,-24.654,218.7
22,4,-25.495,220.42
23,0,-24.817,219.03
23,1,-25.206,218.28
23,2,-25.889,220.21
23,3,-24.85,217.8
23,4,-25.875,219.78
24,0,-25.806,217.66
24,1,-25.22,219.52
24,2,-25.109,220.38
24,3,-25.258,219.17
24,4,-24.564,219.38
25,0,-25.502,219.84
25,1,-25.035,220.14
25,2,-23.989,219.33
25,3,-24.758,220.68
25,4,-25.229,218.85
26,0,-25.789,219.21
26,1,-25.781,221.2
26,2,-23.421,218.39
26,3,-24.47,219.98
26,4,-25.303,219.47
27,0,-24.162,221.3
27,1,-25.424,218.18
27,2,-22.96,219.64
27,3,-25.886,217.89
27,4,-24.669,221
28,0,-24.769,219.71
28,1,-25.728,219.39
