Frame, SubFrame, Fx1(N), Fy1(N), Fz1(N), Fx2(N), Fy2(N), Fz2(N)
162,0,0,0,0,0,0,0
162,1,0,0,0,0,0,0
162,2,0,0,0,0,0,0
162,3,0,0,0,0,0,0
162,4,0,0,0,0,0,0
163,0,0,0,0,0,0,0
163,1,0,0,0,0,0,0
163,2,0,0,0,0,0,0
163,3,0,0,0,0,0,0
163,4,0,0,0,0,0,0
164,0,0,0,0,0,0,0
164,1,0,0,0,0,0,0
164,2,0,0,0,0,0,0
164,3,0,0,0,0,0,0
164,4,0,0,0,0,0,0
165,0,0,0,0,0,0,0
165,1,0,0,0,0,0,0
165,2,0,0,0,0,0,0
165,3,0,0,0,0,0,0
165,4,0,0,0,0,0,0
166,0,0,0,0,0,0,0
166,1,0,0,0,0,0,0
166,2,0,0,0,0,0,0
166,3,0,0,0,0,0,0
166,4,0,0,0,0,0,0
167,0,0,0,0,0,0,0
167,1,0,0,0,0,0,0
167,2,0,0,0,0,0,0
167,3,0,0,0,0,0,0
167,4,0,0,0,0,0,0
168,0,0,0,0,0,0,0
168,1,0,0,0,0,0,0
168,2,0,0,0,0,0,0
168,3,0,0,0,0,0,0
168,4,0,0,0,0,0,0
169,0,0,0,0,0,0,0
169,1,0,0,0,0,0,0
169,2,0,0,0,0,0,0
169,3,0,0,0,0,0,0
169,4,0,0,0,0,0,0
170,0,0,0,0,0,0,0
170,1,0,0,0,0,0,0
170,2,0,0,0,0,0,0
170,3,0,0,0,0,0,0
170,4,0,0,0,0,0,0
171,0,0,0,0,0,0,0
171,1,0,0,0,0,0,0
171,2,0,0,0,0,0,0
171,3,0,0,0,0,0,0
171,4,0,0,0,0,0,0
172,0,0,0,0,0,0,0
172,1,0,0,0,0,0,0
172,2,0,0,0,0,0,0
172,3,0,0,0,0,0,0
172,4,0,0,0,0,0,0
173,0,0,0,0,0,0,0
173,1,0,0,0,0,0,0
173,2,0,0,0,0,0,0
173,3,0,0,0,0,0,0
173,4,0,0,0,0,0,0
174,0,0,0,0,0,0,0
174,1,0,0,0,0,0,0
174,2,0,0,0,0,0,0
174,3,0,0,0,0,0,0
174,4,0,0,0,0,0,0
175,0,0,0,0,0,0,0
175,1,0,0,0,0,0,0
175,2,0,0,0,0,0,0
175,3,0,0,0,0,0,0
175,4,0,0,0,0,0,0
176,0,0,0,0,0,0,0
176,1,0,0,0,0,0,0
176,2,0,0,0,0,0,0
176,3,0,0,0,0,0,0
176,4,5.0919,5.1891,-35.863,0,0,0
177,0,5.8651,7.4583,-64.893,0,0,0
177,1,7.7301,12.387,-101.19,0,0,0
177,2,10.528,19.273,-167.57,0,0,0
177,3,13.403,29.601,-255.04,0,0,0
177,4,13.636,35.156,-358.08,0,0,0
178,0,9.1995,33.121,-437.29,0,0,0
178,1,0.47002,31.79,-478.11,0,0,0
178,2,-4.7491,32.102,-458.73,0,0,0
178,3,-5.1326,31.711,-431.03,0,0,0
178,4,-7.2347,33.822,-417.2,0,0,0
179,0,-10.98,36.482,-428.64,0,0,0
179,1,-12.461,39.924,-435.58,0,0,0
179,2,-12.931,44.618,-424.87,0,0,0
179,3,-13.249,49.078,-402.02,0,0,0
179,4,-11.847,52.756,-378.83,0,0,0
180,0,-10.604,56.198,-375.39,0,0,0
180,1,-9.3634,59.719,-381.63,0,0,0
180,2,-8.5887,65.352,-390.97,0,0,0
180,3,-8.8303,71.063,-391.67,0,0,0
180,4,-7.743,74.74,-389.93,0,0,0
181,0,-6.9668,78.73,-384.74,0,0,0
181,1,-5.9588,83.581,-388.19,0,0,0
181,2,-4.9478,88.432,-404.81,0,0,0
181,3,-4.8768,93.361,-411.03,0,0,0
181,4,-3.8704,98.604,-412.07,0,0,0
182,0,-1.6097,101.97,-402.72,0,0,0
182,1,0.88209,105.1,-397.53,0,0,0
182,2,3.1382,107.6,-400.3,0,0,0
182,3,5.0063,110.58,-401.34,0,0,0
182,4,7.2617,113.24,-404.81,0,0,0
183,0,10.064,114.41,-395.81,0,0,0
183,1,12.245,115.04,-381.98,0,0,0
183,2,14.894,115.51,-377.13,0,0,0
183,3,16.057,116.05,-376.78,0,0,0
183,4,17.301,117.31,-387.17,0,0,0
184,0,17.455,118.17,-386.83,0,0,0
184,1,17.374,118.24,-386.48,0,0,0
184,2,17.526,118.71,-382.32,0,0,0
184,3,17.755,119.42,-388.55,0,0,0
184,4,16.658,120.28,-392.01,0,0,0
185,0,15.019,122.31,-405.14,0,0,0
185,1,13.062,124.74,-419.66,0,0,0
185,2,11.808,126.93,-432.8,0,0,0
185,3,13.049,128.26,-445.24,0,0,0
185,4,17.18,130.92,-457,0,0,0
186,0,19.511,134.36,-469.79,0,0,0
186,1,21.843,137.65,-485.69,0,0,0
186,2,25.579,141.8,-496.08,0,0,0
186,3,28.377,145.71,-498.83,0,0,0
186,4,31.726,149.39,-497.09,0,0,0
187,0,33.904,153.14,-510.24,0,0,0
187,1,35.305,157.21,-523.38,0,0,0
187,2,35.535,161.75,-535.5,0,0,0
187,3,35.379,164.8,-544.15,0,0,0
187,4,33.819,167.93,-544.48,0,0,0
188,0,32.107,170.98,-541.37,0,0,0
188,1,29.688,175.36,-547.95,0,0,0
188,2,27.425,179.43,-555.9,0,0,0
188,3,26.334,184.28,-559.03,0,0,0
188,4,25.866,188.74,-560.75,0,0,0
189,0,25.941,192.97,-556.6,0,0,0
189,1,26.717,197.98,-565.59,0,0,0
189,2,26.87,204.47,-571.82,0,0,0
189,3,28.504,210.1,-582.21,0,0,0
189,4,30.453,214.95,-590.51,0,0,0
190,0,32.324,220.12,-593.96,0,0,0
190,1,34.662,224.5,-598.45,0,0,0
190,2,37.394,227.55,-613.32,0,0,0
190,3,39.578,230.53,-625.44,0,0,0
190,4,41.682,233.42,-636.14,0,0,0
191,0,43.709,235.69,-649.29,0,0,0
191,1,45.187,237.41,-663.12,0,0,0
191,2,46.281,238.98,-674.2,0,0,0
191,3,47.295,240,-678.33,0,0,0
191,4,47.918,239.45,-688.02,0,0,0
192,0,46.979,239.45,-701.16,0,0,0
192,1,46.51,239.06,-709.81,0,0,0
192,2,46.043,238.04,-715.69,0,0,0
192,3,45.26,236.55,-720.17,0,0,0
192,4,44.637,235.69,-727.1,0,0,0
193,0,43.463,235.15,-737.13,0,0,0
193,1,42.84,235.22,-744.4,0,0,0
193,2,42.136,234.91,-749.25,0,0,0
193,3,41.042,234.6,-748.89,0,0,0
193,4,40.342,235.54,-750.61,0,0,0
194,0,39.249,236.01,-763.07,0,0,0
194,1,37.844,237.57,-769.98,0,0,0
194,2,37.298,238.43,-776.56,0,0,0
194,3,37.222,239.29,-783.13,0,0,0
194,4,36.752,240.31,-790.74,0,0,0
195,0,36.596,240.86,-794.54,0,0,0
195,1,37.221,241.64,-806.3,0,0,0
195,2,37.845,242.03,-808.38,0,0,0
195,3,38.703,242.19,-816.33,0,0,0
195,4,39.406,242.81,-821.16,0,0,0
196,0,40.499,242.97,-831.55,0,0,0
196,1,41.276,243.28,-835.35,0,0,0
196,2,42.679,243.05,-838.81,0,0,0
196,3,44.162,242.26,-844.7,0,0,0
196,4,45.801,241.64,-852.65,0,0,0
197,0,47.437,240.78,-849.87,0,0,0
197,1,48.607,238.98,-850.91,0,0,0
197,2,50.323,237.41,-853.33,0,0,0
197,3,51.65,235.69,-856.78,0,0,0
197,4,52.586,234.83,-858.86,0,0,0
198,0,53.677,233.11,-859.19,0,0,0
198,1,54.614,231.78,-862.32,0,0,0
198,2,55.628,230.53,-864.03,0,0,0
198,3,56.41,229.51,-867.85,0,0,0
198,4,56.954,227.79,-870.96,0,0,0
199,0,58.125,226.7,-870.96,0,0,0
199,1,58.673,225.52,-870.61,0,0,0
199,2,59.299,223.96,-873.03,0,0,0
199,3,59.379,222.79,-877.53,0,0,0
199,4,59.692,221.85,-876.84,0,0,0
200,0,60.238,220.2,-879.95,0,0,0
200,1,60.163,218.25,-881.68,0,0,0
200,2,59.697,216.92,-882.38,0,0,0
200,3,59.697,215.43,-884.1,0,0,0
200,4,59.78,213.24,-885.49,0,0,0
201,0,59.701,211.52,-886.18,0,0,0
201,1,59.237,209.72,-883.42,0,0,0
201,2,58.849,207.84,-885.84,0,0,0
201,3,59.162,206.59,-888.26,0,0,0
201,4,58.226,205.34,-886.18,0,0,0
202,0,58.93,203.85,-887.57,0,0,0
202,1,59.088,202.52,-887.92,0,0,0
202,2,58.933,201.35,-888.96,0,0,0
202,3,59.327,200.41,-883.76,0,0,0
202,4,60.108,198.84,-885.15,0,0,0
203,0,60.11,197.75,-880.65,0,0,0
203,1,60.19,196.65,-883.42,0,0,0
203,2,60.503,195.72,-880.65,0,0,0
203,3,60.894,195.01,-884.81,0,0,0
203,4,61.285,193.76,-881.69,0,0,0
204,0,61.679,192.35,-879.28,0,0,0
204,1,61.915,190.94,-877.19,0,0,0
204,2,61.838,189.69,-879.27,0,0,0
204,3,62.153,188.2,-871.33,0,0,0
204,4,61.998,185.86,-871.67,0,0,0
205,0,61.533,184.06,-869.24,0,0,0
205,1,62.082,183.74,-873.75,0,0,0
205,2,61.38,182.26,-868.57,0,0,0
205,3,61.614,180.77,-867.18,0,0,0
205,4,61.931,179.6,-863.73,0,0,0
206,0,61.073,178.11,-858.88,0,0,0
206,1,61.154,176.31,-856.81,0,0,0
206,2,60.611,174.98,-855.42,0,0,0
206,3,60.067,172.95,-846.77,0,0,0
206,4,59.759,171.77,-845.74,0,0,0
207,0,59.215,169.58,-846.78,0,0,0
207,1,58.046,168.25,-845.75,0,0,0
207,2,57.814,166.69,-843.33,0,0,0
207,3,57.584,164.97,-837.1,0,0,0
207,4,56.647,163.01,-834,0,0,0
208,0,56.106,161.6,-826.37,0,0,0
208,1,55.795,160.19,-825.69,0,0,0
208,2,55.33,158.24,-822.24,0,0,0
208,3,54.551,156.91,-817.74,0,0,0
208,4,54.397,155.58,-811.86,0,0,0
209,0,54.086,153.93,-813.25,0,0,0
209,1,53.464,152.45,-812.92,0,0,0
209,2,53.466,150.88,-799.78,0,0,0
209,3,53.547,148.85,-794.58,0,0,0
209,4,53.082,147.44,-789.38,0,0,0
210,0,52.927,146.19,-786.28,0,0,0
210,1,52.772,145.09,-781.79,0,0,0
210,2,52.932,143.6,-777.99,0,0,0
210,3,52.544,142.59,-774.88,0,0,0
210,4,51.998,141.02,-768.99,0,0,0
211,0,52.469,139.69,-763.82,0,0,0
211,1,52.549,138.6,-762.09,0,0,0
211,2,52.079,136.95,-749.63,0,0,0
211,3,52.708,135.15,-747.21,0,0,0
211,4,51.928,133.75,-742.37,0,0,0
212,0,52.088,133.12,-738.57,0,0,0
212,1,51.619,131.09,-733.38,0,0,0
212,2,52.17,129.52,-730.27,0,0,0
212,3,51.626,128.27,-722.67,0,0,0
212,4,51.703,126.94,-718.86,0,0,0
213,0,52.096,124.98,-713.32,0,0,0
213,1,51.942,123.5,-708.15,0,0,0
213,2,52.179,121.23,-700.18,0,0,0
213,3,52.103,119.27,-693.96,0,0,0
213,4,52.339,117.39,-694.32,0,0,0
214,0,52.106,116.92,-688.43,0,0,0
214,1,52.576,115.2,-681.87,0,0,0
214,2,52.812,113.56,-678.4,0,0,0
214,3,52.344,112.54,-673.22,0,0,0
214,4,52.893,111.21,-668.04,0,0,0
215,0,52.893,109.41,-661.12,0,0,0
215,1,53.521,107.85,-654.89,0,0,0
215,2,53.211,106.05,-648.66,0,0,0
215,3,53.29,104.8,-647.28,0,0,0
215,4,53.605,103.39,-641.75,0,0,0
216,0,53.606,101.98,-639.34,0,0,0
216,1,53.686,100.73,-632.05,0,0,0
216,2,53.844,98.927,-628.27,0,0,0
216,3,53.844,97.676,-624.82,0,0,0
216,4,53.768,96.346,-615.82,0,0,0
217,0,54.318,94.468,-610.63,0,0,0
217,1,54.164,92.903,-606.82,0,0,0
217,2,54.086,91.964,-598.53,0,0,0
217,3,53.698,90.556,-598.53,0,0,0
217,4,54.247,89.46,-593,0,0,0
218,0,54.093,88.286,-588.16,0,0,0
218,1,54.172,86.487,-584.35,0,0,0
218,2,54.095,85.47,-581.25,0,0,0
218,3,54.251,84.061,-576.05,0,0,0
218,4,54.334,83.201,-569.83,0,0,0
219,0,54.805,81.088,-563.6,0,0,0
219,1,54.26,79.68,-561.89,0,0,0
219,2,53.87,78.819,-555.64,0,0,0
219,3,53.873,77.567,-551.51,0,0,0
219,4,54.263,76.08,-547.01,0,0,0
220,0,53.875,74.75,-539.4,0,0,0
220,1,53.566,73.342,-536.29,0,0,0
220,2,53.645,72.012,-531.79,0,0,0
220,3,53.493,70.369,-526.61,0,0,0
220,4,52.868,69.273,-519.34,0,0,0
221,0,53.028,68.021,-514.5,0,0,0
221,1,52.327,66.613,-513.46,0,0,0
221,2,51.937,66.065,-510.71,0,0,0
221,3,51.861,65.204,-504.83,0,0,0
221,4,51.942,63.561,-500.67,0,0,0
222,0,51.944,62.622,-495.83,0,0,0
222,1,50.619,61.449,-492.03,0,0,0
222,2,51.168,60.04,-488.92,0,0,0
222,3,50.857,58.554,-483.04,0,0,0
222,4,50.471,57.224,-475.77,0,0,0
223,0,49.847,56.285,-474.4,0,0,0
223,1,49.615,55.111,-470.25,0,0,0
223,2,49.384,54.407,-469.9,0,0,0
223,3,48.994,53.702,-465.75,0,0,0
223,4,48.919,52.372,-459.88,0,0,0
224,0,48.296,51.668,-457.1,0,0,0
224,1,47.602,48.851,-452.61,0,0,0
224,2,46.588,44.939,-450.54,0,0,0
224,3,46.434,45.722,-446.74,0,0,0
224,4,46.2,46.817,-441.55,0,0,0
225,0,46.121,46.582,-441.89,0,0,0
225,1,46.356,46.817,-445.36,0,0,0
225,2,46.514,46.582,-441.89,0,0,0
225,3,46.516,46.425,-434.64,0,0,0
225,4,46.282,45.33,-429.09,0,0,0
226,0,46.051,45.017,-428.41,0,0,0
226,1,45.66,44,-426.33,0,0,0
226,2,45.429,43.139,-418.38,0,0,0
226,3,45.274,41.966,-419.76,0,0,0
226,4,44.183,41.183,-418.72,0,0,0
