Frame, SubFrame, Fx1(N), Fy1(N), Fz1(N), Fx2(N), Fy2(N), Fz2(N)
105,2,0,0,0,0,0,0
105,3,0,0,0,0,0,0
105,4,0,0,0,0,0,0
106,0,0,0,0,0,0,0
106,1,0,0,0,0,0,0
106,2,0,0,0,0,0,0
106,3,0,0,0,0,0,0
106,4,0,0,0,0,0,0
107,0,0,0,0,0,0,0
107,1,0,0,0,0,0,0
107,2,0,0,0,0,0,0
107,3,0,0,0,0,0,0
107,4,0,0,0,0,0,0
108,0,0,0,0,0,0,0
108,1,0,0,0,0,0,0
108,2,0,0,0,0,0,0
108,3,0,0,0,0,0,0
108,4,0,0,0,0,0,0
109,0,0,0,0,0,0,0
109,1,0,0,0,0,0,0
109,2,0,0,0,0,0,0
109,3,0,0,0,0,0,0
109,4,0,0,0,0,0,0
110,0,0,0,0,0,0,0
110,1,0,0,0,0,0,0
110,2,0,0,0,0,0,0
110,3,0,0,0,0,0,0
110,4,0,0,0,0,0,0
111,0,0,0,0,0,0,0
111,1,0,0,0,0,0,0
111,2,0,0,0,0,0,0
111,3,0,0,0,0,0,0
111,4,0,0,0,0,0,0
112,0,0,0,0,0,0,0
112,1,0,0,0,0,0,0
112,2,0,0,0,0,0,0
112,3,0,0,0,0,0,0
112,4,0,0,0,0,0,0
113,0,0,0,0,0,0,0
113,1,0,0,0,0,0,0
113,2,0,0,0,0,0,0
113,3,0,0,0,0,0,0
113,4,0,0,0,0,0,0
114,0,0,0,0,0,0,0
114,1,0,0,0,0,0,0
114,2,0,0,0,0,0,0
114,3,0,0,0,0,0,0
114,4,0,0,0,0,0,0
115,0,0,0,0,0,0,0
115,1,0,0,0,0,0,0
115,2,0,0,0,0,0,0
115,3,0,0,0,0,0,0
115,4,0,0,0,0,0,0
116,0,0,0,0,0,0,0
116,1,0,0,0,0,0,0
116,2,0,0,0,0,0,0
116,3,0,0,0,0,0,0
116,4,0,0,0,0,0,0
117,0,0,0,0,0,0,0
117,1,0,0,0,0,0,0
117,2,0,0,0,0,0,0
117,3,0,0,0,0,0,0
117,4,0,0,0,0,0,0
118,0,0,0,0,0,0,0
118,1,0,0,0,0,0,0
118,2,0,0,0,0,0,0
118,3,0,0,0,0,0,0
118,4,0,0,0,0,0,0
119,0,0,0,0,0,0,0
119,1,0,0,0,0,0,0
119,2,0,0,0,0,0,0
119,3,0,0,0,0,0,0
119,4,0,0,0,0,0,0
120,0,0,0,0,0,0,0
120,1,0,0,0,0,0,0
120,2,0,0,0,0,0,0
120,3,0,0,0,0,0,0
120,4,0,0,0,0,0,0
121,0,0,0,0,0,0,0
121,1,0,0,0,0,0,0
121,2,0,0,0,0,0,0
121,3,0,0,0,0,0,0
121,4,0,0,0,0,0,0
122,0,0,0,0,0,0,0
122,1,0,0,0,0,0,0
122,2,0,0,0,0,0,0
122,3,0,0,0,0,0,0
122,4,-1.9891,-0.053663,-26.541,0,0,0
123,0,-2.7683,0.024449,-45.23,0,0,0
123,1,-4.3261,0.2583,-73.602,0,0,0
123,2,-8.3038,1.274,-127.23,0,0,0
123,3,-14.304,4.167,-217.2,0,0,0
123,4,-22.025,8.3109,-347.3,0,0,0
124,0,-32.08,9.4031,-495.76,0,0,0
124,1,-46.732,7.5226,-614.47,0,0,0
124,2,-60.997,7.9115,-660.51,0,0,0
124,3,-67.931,10.727,-631.09,0,0,0
124,4,-67.844,13.699,-571.9,0,0,0
125,0,-68.618,19.488,-539.02,0,0,0
125,1,-71.901,26.373,-546.3,0,0,0
125,2,-70.258,31.615,-562.57,0,0,0
125,3,-68.227,40.457,-548.4,0,0,0
125,4,-67.141,46.325,-506.86,0,0,0
126,0,-64.258,51.489,-471.21,0,0,0
126,1,-61.375,58.922,-462.89,0,0,0
126,2,-59.736,65.338,-481.95,0,0,0
126,3,-59.576,72.067,-498.57,0,0,0
126,4,-59.735,81.377,-497.18,0,0,0
127,0,-60.124,87.95,-482.64,0,0,0
127,1,-57.62,94.757,-479.17,0,0,0
127,2,-57.857,102.82,-492.67,0,0,0
127,3,-57.306,112.05,-512.75,0,0,0
127,4,-56.445,121.36,-528.68,0,0,0
128,0,-55.585,129.34,-525.91,0,0,0
128,1,-53.712,135.91,-514.13,0,0,0
128,2,-51.138,141.23,-509.63,0,0,0
128,3,-48.881,147.26,-514.48,0,0,0
128,4,-45.766,152.34,-526.25,0,0,0
129,0,-42.812,156.33,-535.94,0,0,0
129,1,-40.168,158.06,-532.82,0,0,0
129,2,-36.664,157.74,-518.63,0,0,0
129,3,-34.255,156.41,-511.01,0,0,0
129,4,-31.764,155.01,-514.47,0,0,0
130,0,-30.441,153.75,-532.46,0,0,0
130,1,-30.601,152.42,-546.3,0,0,0
130,2,-30.371,151.41,-554.6,0,0,0
130,3,-28.114,149.92,-566.36,0,0,0
130,4,-24.066,148.98,-585.03,0,0,0
131,0,-17.908,148.2,-612.72,0,0,0
131,1,-13.549,149.92,-645.25,0,0,0
131,2,-8.8752,152.74,-663.24,0,0,0
131,3,-3.419,154.93,-667.73,0,0,0
131,4,0.47189,157.12,-670.84,0,0,0
132,0,4.3658,160.56,-680.87,0,0,0
132,1,6.9361,164.32,-705.79,0,0,0
132,2,8.0287,169.25,-717.22,0,0,0
132,3,8.6524,174.02,-720.67,0,0,0
132,4,7.4065,177.85,-715.49,0,0,0
133,0,5.7711,182.39,-714.79,0,0,0
133,1,4.0624,186.85,-716.19,0,0,0
133,2,1.7216,192.56,-723.8,0,0,0
133,3,-0.30115,198.9,-723.46,0,0,0
133,4,-1.1566,204.3,-719.99,0,0,0
134,0,-1.9389,208.37,-709.26,0,0,0
134,1,-1.1589,213.14,-705.46,0,0,0
134,2,-0.61675,217.28,-709.61,0,0,0
134,3,0.31728,220.73,-713.77,0,0,0
134,4,1.4061,221.9,-715.15,0,0,0
135,0,2.7305,222.45,-717.93,0,0,0
135,1,4.6016,222.45,-712.04,0,0,0
135,2,5.9267,221.43,-713.77,0,0,0
135,3,6.2348,220.88,-725.18,0,0,0
135,4,6.6267,220.57,-732.11,0,0,0
136,0,6.5466,220.73,-746.99,0,0,0
136,1,5.7636,220.96,-749.4,0,0,0
136,2,6.1524,221.43,-751.83,0,0,0
136,3,5.1353,222.13,-757.72,0,0,0
136,4,4.979,223.78,-768.1,0,0,0
137,0,4.6649,224.32,-779.88,0,0,0
137,1,4.5056,224.95,-777.1,0,0,0
137,2,5.13,225.73,-776.06,0,0,0
137,3,5.5189,225.89,-779.17,0,0,0
137,4,6.1418,225.89,-784.02,0,0,0
138,0,6.6877,225.66,-791.28,0,0,0
138,1,7.0003,225.34,-795.44,0,0,0
138,2,7.0773,225.03,-799.25,0,0,0
138,3,6.9996,224.25,-801.32,0,0,0
138,4,6.8448,223.93,-802.36,0,0,0
139,0,6.6092,223.86,-806.52,0,0,0
139,1,6.6885,223,-812.75,0,0,0
139,2,6.6115,222.92,-818.97,0,0,0
139,3,6.1441,223.07,-820.36,0,0,0
139,4,6.0648,223,-829.7,0,0,0
140,0,6.4544,223.39,-833.85,0,0,0
140,1,7.3137,222.76,-843.2,0,0,0
140,2,6.9226,222.6,-849.43,0,0,0
140,3,7.624,223,-853.93,0,0,0
140,4,8.0906,222.6,-860.84,0,0,0
141,0,8.7166,222.13,-860.15,0,0,0
141,1,9.107,221.04,-863.61,0,0,0
141,2,8.8721,220.1,-871.92,0,0,0
141,3,9.1055,219.94,-874.68,0,0,0
141,4,9.4173,218.07,-879.18,0,0,0
142,0,9.7276,216.82,-879.19,0,0,0
142,1,10.587,215.01,-874.68,0,0,0
142,2,10.821,212.36,-879.53,0,0,0
142,3,10.897,210.09,-881.61,0,0,0
142,4,12.148,207.66,-878.49,0,0,0
143,0,12.694,205.24,-877.45,0,0,0
143,1,12.85,203.2,-876.07,0,0,0
143,2,13.474,201.25,-873.64,0,0,0
143,3,14.257,199.6,-878.14,0,0,0
143,4,14.41,198.27,-875.72,0,0,0
144,0,15.66,196.4,-875.37,0,0,0
144,1,15.817,195.15,-872.6,0,0,0
144,2,16.675,194.29,-872.6,0,0,0
144,3,17.378,193.11,-872.6,0,0,0
144,4,17.377,192.1,-870.87,0,0,0
145,0,18.393,190.61,-870.18,0,0,0
145,1,18.785,189.67,-872.95,0,0,0
145,2,19.254,188.42,-872.94,0,0,0
145,3,19.408,186.54,-875.37,0,0,0
145,4,19.643,185.52,-873.64,0,0,0
146,0,20.192,183.65,-873.98,0,0,0
146,1,20.115,181.77,-876.76,0,0,0
146,2,20.036,180.36,-871.9,0,0,0
146,3,20.428,178.56,-875.03,0,0,0
146,4,20.273,176.6,-872.25,0,0,0
147,0,20.041,175.35,-870.53,0,0,0
147,1,19.963,173.4,-873.98,0,0,0
147,2,19.418,172.3,-873.29,0,0,0
147,3,19.652,170.97,-873.99,0,0,0
147,4,19.965,169.49,-870.53,0,0,0
148,0,19.498,168.08,-868.11,0,0,0
148,1,19.344,166.67,-869.14,0,0,0
148,2,19.032,165.89,-866.38,0,0,0
148,3,19.501,164.63,-863.96,0,0,0
148,4,19.426,163.38,-862.58,0,0,0
149,0,18.724,162.29,-859.8,0,0,0
149,1,18.881,161.58,-859.11,0,0,0
