Frame, SubFrame, Fx1(N), Fy1(N), Fz1(N), Fx2(N), Fy2(N), Fz2(N)
188,0,0,0,0,0,0,0
188,1,0,0,0,0,0,0
188,2,0,0,0,0,0,0
188,3,0,0,0,0,0,0
188,4,0,0,0,0,0,0
189,0,0,0,0,0,0,0
189,1,0,0,0,0,0,0
189,2,0,0,0,0,0,0
189,3,0,0,0,0,0,0
189,4,0,0,0,0,0,0
190,0,0,0,0,0,0,0
190,1,0,0,0,0,0,0
190,2,0,0,0,0,0,0
190,3,0,0,0,0,0,0
190,4,0,0,0,0,0,0
191,0,0,0,0,0,0,0
191,1,0,0,0,0,0,0
191,2,0,0,0,0,0,0
191,3,0,0,0,0,0,0
191,4,0,0,0,0,0,0
192,0,0,0,0,0,0,0
192,1,0,0,0,0,0,0
192,2,0,0,0,0,0,0
192,3,0,0,0,0,0,0
192,4,0,0,0,0,0,0
193,0,0,0,0,0,0,0
193,1,0,0,0,0,0,0
193,2,0,0,0,0,0,0
193,3,0,0,0,0,0,0
193,4,0,0,0,0,0,0
194,0,0,0,0,0,0,0
194,1,0,0,0,0,0,0
194,2,0,0,0,0,0,0
194,3,0,0,0,0,0,0
194,4,0,0,0,0,0,0
195,0,0,0,0,0,0,0
195,1,0,0,0,0,0,0
195,2,0,0,0,0,0,0
195,3,0,0,0,0,0,0
195,4,0,0,0,0,0,0
196,0,0,0,0,0,0,0
196,1,0,0,0,0,0,0
196,2,0,0,0,0,0,0
196,3,0,0,0,0,0,0
196,4,0,0,0,0,0,0
197,0,0,0,0,0,0,0
197,1,0,0,0,0,0,0
197,2,0,0,0,0,0,0
197,3,0,0,0,0,0,0
197,4,0,0,0,0,0,0
198,0,0,0,0,0,0,0
198,1,0,0,0,0,0,0
198,2,0,0,0,0,0,0
198,3,0,0,0,0,0,0
198,4,2.2127,4.1407,-31.325,0,0,0
199,0,3.0704,5.7836,-50.346,0,0,0
199,1,3.6919,8.6783,-73.871,0,0,0
199,2,4.4673,14.155,-119.89,0,0,0
199,3,4.8516,23.152,-192.89,0,0,0
199,4,5.1627,31.288,-295.66,0,0,0
200,0,1.0332,32.929,-393.94,0,0,0
200,1,-9.4918,33.084,-460.73,0,0,0
200,2,-20.256,36.213,-471.47,0,0,0
200,3,-25.397,39.654,-448.62,0,0,0
200,4,-28.902,42.548,-419.88,0,0,0
201,0,-32.257,46.694,-424.4,0,0,0
201,1,-34.441,49.902,-434.78,0,0,0
201,2,-35.53,55.535,-444.49,0,0,0
201,3,-35.768,61.09,-424.06,0,0,0
201,4,-34.362,66.723,-398.79,0,0,0
202,0,-33.117,72.356,-383.57,0,0,0
202,1,-32.34,78.458,-395.67,0,0,0
202,2,-31.326,84.17,-413.34,0,0,0
202,3,-31.563,92.307,-424.77,0,0,0
202,4,-31.877,100.68,-417.84,0,0,0
203,0,-31.566,108.11,-409.53,0,0,0
203,1,-30.941,116.25,-414.02,0,0,0
203,2,-31.411,124.23,-430.64,0,0,0
203,3,-31.487,132.21,-446.57,0,0,0
203,4,-31.485,139.64,-452.79,0,0,0
204,0,-30.938,145.9,-439.65,0,0,0
204,1,-29.922,150.99,-438.24,0,0,0
204,2,-28.594,155.91,-438.25,0,0,0
204,3,-27.739,160.37,-457.29,0,0,0
204,4,-26.099,163.74,-465.96,0,0,0
205,0,-24.852,165.62,-468.01,0,0,0
205,1,-22.823,165.38,-455.57,0,0,0
205,2,-21.73,163.58,-452.09,0,0,0
205,3,-20.562,161.08,-451.39,0,0,0
205,4,-20.015,157.72,-462.13,0,0,0
206,0,-19.47,154.59,-465.25,0,0,0
206,1,-19.626,151.15,-460.4,0,0,0
206,2,-19.47,146.76,-456.24,0,0,0
206,3,-19.001,142.69,-456.93,0,0,0
206,4,-18.926,138.31,-463.52,0,0,0
207,0,-18.222,134.01,-473.21,0,0,0
207,1,-18.299,129.71,-475.62,0,0,0
207,2,-17.832,125.8,-474.59,0,0,0
207,3,-17.6,122.75,-473.2,0,0,0
207,4,-16.582,119.38,-471.82,0,0,0
208,0,-15.962,116.96,-481.16,0,0,0
208,1,-15.96,114.45,-489.12,0,0,0
208,2,-15.96,112.97,-491.54,0,0,0
208,3,-15.493,112.11,-487.73,0,0,0
208,4,-14.403,111.95,-486.34,0,0,0
209,0,-13.307,112.18,-494.99,0,0,0
209,1,-12.996,112.58,-500.88,0,0,0
209,2,-12.998,113.98,-502.26,0,0,0
209,3,-12.219,116.1,-503.65,0,0,0
209,4,-10.972,118.21,-504.33,0,0,0
210,0,-9.0204,120.4,-508.83,0,0,0
210,1,-7.9293,122.67,-519.56,0,0,0
210,2,-7.3071,125.96,-530.28,0,0,0
210,3,-4.9694,129.55,-540.32,0,0,0
210,4,-2.6324,133.78,-547.59,0,0,0
211,0,-0.14369,138.71,-557.61,0,0,0
211,1,2.8955,144.18,-571.47,0,0,0
211,2,5.8539,149.74,-580.78,0,0,0
211,3,8.2701,156.07,-586,0,0,0
211,4,10.841,161.63,-589.1,0,0,0
212,0,12.555,166.64,-589.8,0,0,0
212,1,14.505,171.72,-596.01,0,0,0
212,2,14.736,176.81,-604.67,0,0,0
212,3,15.514,181.58,-607.44,0,0,0
212,4,16.136,186.19,-613.67,0,0,0
213,0,17.54,189.64,-613.31,0,0,0
213,1,18.474,192.77,-616.09,0,0,0
213,2,19.486,195.43,-619.89,0,0,0
213,3,20.654,197.15,-627.16,0,0,0
213,4,21.902,198.17,-626.13,0,0,0
214,0,22.913,197.78,-625.78,0,0,0
214,1,23.852,197.07,-621.27,0,0,0
214,2,24.71,195.59,-627.5,0,0,0
214,3,25.098,193.86,-630.26,0,0,0
214,4,25.253,191.83,-634.08,0,0,0
215,0,25.33,190.34,-635.8,0,0,0
215,1,25.33,188.86,-638.57,0,0,0
215,2,25.015,187.84,-641.69,0,0,0
215,3,25.013,187.37,-644.8,0,0,0
215,4,24.857,186.75,-644.11,0,0,0
216,0,24.621,186.2,-645.15,0,0,0
216,1,24.071,186.12,-645.14,0,0,0
216,2,23.994,186.12,-647.57,0,0,0
216,3,23.759,186.28,-650.33,0,0,0
216,4,23.6,186.43,-651.72,0,0,0
217,0,23.601,186.67,-654.49,0,0,0
217,1,23.756,187.06,-658.64,0,0,0
217,2,23.207,187.68,-658.64,0,0,0
217,3,23.754,187.76,-663.14,0,0,0
217,4,23.752,188.31,-662.79,0,0,0
218,0,23.986,188.47,-666.26,0,0,0
218,1,24.375,188.07,-670.05,0,0,0
218,2,24.454,188.7,-673.52,0,0,0
218,3,24.454,188.15,-675.59,0,0,0
218,4,24.534,188.7,-680.79,0,0,0
219,0,24.531,188.23,-680.78,0,0,0
219,1,24.846,188.39,-686.67,0,0,0
219,2,25.157,188.54,-689.43,0,0,0
219,3,25.078,188.39,-695.66,0,0,0
219,4,25.547,188.07,-699.47,0,0,0
220,0,25.702,187.84,-702.58,0,0,0
220,1,26.169,187.53,-704.32,0,0,0
220,2,26.013,187.22,-708.82,0,0,0
220,3,26.717,186.59,-711.23,0,0,0
220,4,26.793,185.88,-714.35,0,0,0
221,0,27.106,184.95,-711.92,0,0,0
221,1,26.949,184.4,-716.42,0,0,0
221,2,26.637,183.46,-719.54,0,0,0
221,3,26.872,182.36,-725.42,0,0,0
221,4,26.714,181.82,-726.12,0,0,0
222,0,26.402,180.33,-725.08,0,0,0
222,1,26.247,179.24,-724.4,0,0,0
222,2,26.012,177.83,-727.15,0,0,0
222,3,26.011,177.44,-725.43,0,0,0
222,4,25.856,175.87,-725.41,0,0,0
223,0,25.936,174.62,-724.38,0,0,0
223,1,25.233,173.68,-725.07,0,0,0
223,2,25.155,172.35,-728.88,0,0,0
223,3,24.765,171.1,-731.3,0,0,0
223,4,24.921,170.55,-733.03,0,0,0
224,0,24.687,169.38,-731.99,0,0,0
224,1,24.609,168.13,-734.07,0,0,0
224,2,24.765,167.27,-735.1,0,0,0
224,3,24.922,166.33,-736.84,0,0,0
224,4,24.999,165.39,-735.11,0,0,0
225,0,25.159,163.9,-737.18,0,0,0
225,1,25.16,162.81,-734.77,0,0,0
225,2,25.313,161.63,-739.95,0,0,0
225,3,25.473,160.62,-739.96,0,0,0
225,4,25.785,159.76,-740.3,0,0,0
226,0,25.942,158.5,-737.18,0,0,0
226,1,25.941,157.33,-742.03,0,0,0
226,2,25.786,156.31,-743.4,0,0,0
226,3,25.943,155.45,-743.07,0,0,0
226,4,26.021,154.59,-740.64,0,0,0
227,0,26.257,153.11,-740.98,0,0,0
227,1,26.336,151.93,-737.53,0,0,0
227,2,26.257,151.23,-739.61,0,0,0
227,3,25.789,150.29,-737.52,0,0,0
227,4,25.947,149.35,-738.22,0,0,0
228,0,25.948,148.33,-736.49,0,0,0
228,1,25.4,147.4,-736.83,0,0,0
228,2,25.244,146.38,-740.99,0,0,0
228,3,25.01,145.75,-741.34,0,0,0
228,4,25.166,144.74,-737.87,0,0,0
229,0,25.091,143.95,-734.77,0,0,0
229,1,25.169,142.7,-731.98,0,0,0
229,2,24.466,142.31,-734.42,0,0,0
229,3,24.699,141.45,-731.98,0,0,0
229,4,23.998,140.82,-728.53,0,0,0
230,0,23.92,139.81,-727.83,0,0,0
230,1,23.687,139.34,-729.21,0,0,0
230,2,23.451,139.02,-730.26,0,0,0
230,3,23.06,138.32,-733.03,0,0,0
230,4,23.375,137.46,-726.45,0,0,0
231,0,23.218,136.6,-725.42,0,0,0
231,1,22.826,135.58,-724.03,0,0,0
231,2,23.063,134.8,-724.03,0,0,0
231,3,22.907,134.02,-723.34,0,0,0
231,4,23.141,133.23,-722.99,0,0,0
232,0,22.908,132.14,-719.88,0,0,0
232,1,22.754,131.2,-722.3,0,0,0
232,2,22.675,130.81,-718.49,0,0,0
232,3,22.517,130.03,-720.23,0,0,0
232,4,22.752,129.32,-715.03,0,0,0
233,0,22.754,128.31,-713.65,0,0,0
233,1,22.441,127.6,-712.96,0,0,0
233,2,22.517,127.05,-708.11,0,0,0
233,3,22.912,126.04,-707.77,0,0,0
233,4,22.365,125.25,-703.96,0,0,0
234,0,22.287,124.16,-702.23,0,0,0
234,1,22.053,123.46,-701.88,0,0,0
234,2,21.897,122.75,-699.8,0,0,0
234,3,22.211,122.05,-700.5,0,0,0
234,4,21.663,121.5,-696.35,0,0,0
235,0,22.132,120.64,-694.27,0,0,0
235,1,21.898,119.78,-691.5,0,0,0
235,2,21.744,119.39,-690.82,0,0,0
235,3,21.898,117.9,-687,0,0,0
235,4,22.212,117.51,-681.47,0,0,0
236,0,21.822,116.1,-676.62,0,0,0
236,1,21.668,115.4,-674.89,0,0,0
236,2,21.355,114.46,-674.19,0,0,0
236,3,21.121,113.75,-671.78,0,0,0
236,4,21.355,112.58,-669.01,0,0,0
237,0,21.28,111.72,-666.94,0,0,0
237,1,21.122,111.02,-666.93,0,0,0
237,2,20.967,110,-664.86,0,0,0
237,3,21.045,109.37,-659.33,0,0,0
237,4,21.121,108.43,-654.48,0,0,0
238,0,21.201,107.34,-651.71,0,0,0
238,1,21.202,106.56,-646.86,0,0,0
238,2,21.046,105.77,-648.59,0,0,0
238,3,20.579,104.68,-645.49,0,0,0
238,4,21.126,103.97,-639.95,0,0,0
239,0,21.049,102.64,-638.56,0,0,0
239,1,20.892,102.02,-636.14,0,0,0
239,2,20.892,101.31,-635.45,0,0,0
239,3,20.97,100.22,-629.23,0,0,0
239,4,21.204,99.358,-624.03,0,0,0
240,0,21.439,98.341,-619.53,0,0,0
240,1,20.894,97.246,-618.49,0,0,0
240,2,21.207,96.307,-617.45,0,0,0
240,3,21.285,95.681,-611.92,0,0,0
240,4,21.129,94.664,-609.5,0,0,0
241,0,21.052,93.647,-605.34,0,0,0
241,1,21.129,92.865,-606.38,0,0,0
241,2,20.973,92.395,-603.96,0,0,0
241,3,21.286,90.987,-602.58,0,0,0
241,4,21.365,90.283,-592.54,0,0,0
242,0,21.363,89.031,-590.81,0,0,0
242,1,21.288,88.092,-588.39,0,0,0
242,2,21.365,87.467,-588.39,0,0,0
242,3,21.445,86.293,-580.78,0,0,0
242,4,21.6,85.276,-580.09,0,0,0
243,0,21.445,84.181,-575.24,0,0,0
243,1,21.524,83.633,-576.63,0,0,0
243,2,21.056,82.929,-574.21,0,0,0
243,3,21.523,81.99,-570.74,0,0,0
243,4,21.29,81.129,-567.97,0,0,0
244,0,21.526,80.112,-563.83,0,0,0
244,1,21.213,79.173,-562.44,0,0,0
244,2,20.979,78.391,-560.36,0,0,0
244,3,21.37,77.296,-555.86,0,0,0
244,4,21.448,76.2,-552.4,0,0,0
245,0,21.059,75.418,-551.37,0,0,0
245,1,21.059,74.558,-548.94,0,0,0
245,2,21.451,73.697,-548.6,0,0,0
245,3,21.137,73.306,-546.53,0,0,0
245,4,21.138,71.976,-544.79,0,0,0
246,0,21.139,71.271,-539.95,0,0,0
246,1,21.451,70.333,-539.6,0,0,0
246,2,21.453,69.394,-536.49,0,0,0
246,3,21.452,68.533,-531.98,0,0,0
246,4,21.844,67.516,-527.49,0,0,0
247,0,21.531,66.734,-527.83,0,0,0
247,1,21.299,66.03,-523.35,0,0,0
247,2,21.611,65.404,-524.37,0,0,0
247,3,21.533,64.856,-520.57,0,0,0
247,4,21.455,64.308,-518.84,0,0,0
248,0,21.457,63.682,-518.15,0,0,0
248,1,20.986,63.369,-517.11,0,0,0
248,2,21.534,62.352,-514,0,0,0
248,3,21.611,61.883,-511.23,0,0,0
248,4,21.38,61.257,-506.03,0,0,0
249,0,21.458,60.24,-505,0,0,0
249,1,21.145,60.084,-508.12,0,0,0
249,2,20.678,59.379,-506.39,0,0,0
249,3,20.991,58.754,-503.62,0,0,0
249,4,20.602,58.519,-500.15,0,0,0
250,0,20.524,57.424,-500.16,0,0,0
250,1,20.054,57.345,-500.85,0,0,0
250,2,20.057,56.876,-499.12,0,0,0
250,3,20.212,56.641,-496.7,0,0,0
250,4,19.664,56.171,-490.12,0,0,0
251,0,19.669,55.467,-491.16,0,0,0
251,1,19.355,55.076,-491.16,0,0,0
251,2,18.731,54.92,-490.47,0,0,0
251,3,18.889,54.215,-486.66,0,0,0
251,4,18.34,53.746,-487.69,0,0,0
252,0,18.267,53.276,-487.01,0,0,0
252,1,17.718,53.511,-487.7,0,0,0
252,2,17.563,52.885,-487.36,0,0,0
252,3,17.174,52.65,-483.21,0,0,0
252,4,17.252,51.946,-483.21,0,0,0
253,0,16.626,51.164,-484.23,0,0,0
253,1,16.785,51.007,-480.09,0,0,0
253,2,16.706,50.538,-479.39,0,0,0
253,3,16.396,50.225,-477.32,0,0,0
253,4,16.084,49.52,-476.61,0,0,0
254,0,15.381,49.286,-478.01,0,0,0
254,1,15.071,49.129,-478.71,0,0,0
254,2,15.148,48.503,-478.7,0,0,0
254,3,14.835,48.19,-476.98,0,0,0
254,4,14.759,47.564,-476.98,0,0,0
255,0,14.29,46.938,-476.28,0,0,0
255,1,13.821,46.86,-476.63,0,0,0
255,2,14.058,46.312,-475.59,0,0,0
255,3,14.135,45.843,-473.17,0,0,0
255,4,13.747,45.217,-473.17,0,0,0
256,0,13.591,44.904,-473.16,0,0,0
256,1,13.278,44.513,-474.2,0,0,0
256,2,13.279,44.122,-475.25,0,0,0
256,3,13.436,44.044,-474.21,0,0,0
256,4,13.125,43.496,-473.52,0,0,0
257,0,12.734,43.105,-475.59,0,0,0
257,1,12.734,42.713,-474.55,0,0,0
257,2,12.656,42.479,-474.91,0,0,0
257,3,13.127,42.166,-472.48,0,0,0
257,4,12.814,41.227,-473.51,0,0,0
258,0,12.659,41.07,-473.86,0,0,0
258,1,12.347,40.679,-476.28,0,0,0
258,2,12.268,40.523,-476.63,0,0,0
258,3,12.66,39.975,-473.86,0,0,0
258,4,12.582,39.897,-475.59,0,0,0
259,0,12.428,39.271,-476.98,0,0,0
