Frame, SubFrame, Fx1(N), Fy1(N), Fz1(N), Fx2(N), Fy2(N), Fz2(N)
163,0,0,0,0,0,0,0
163,1,0,0,0,0,0,0
163,2,0,0,0,0,0,0
163,3,0,0,0,0,0,0
163,4,0,0,0,0,0,0
164,0,0,0,0,0,0,0
164,1,0,0,0,0,0,0
164,2,0,0,0,0,0,0
164,3,0,0,0,0,0,0
164,4,0,0,0,0,0,0
165,0,0,0,0,0,0,0
165,1,0,0,0,0,0,0
165,2,0,0,0,0,0,0
165,3,0,0,0,0,0,0
165,4,0,0,0,0,0,0
166,0,0,0,0,0,0,0
166,1,0,0,0,0,0,0
166,2,0,0,0,0,0,0
166,3,0,0,0,0,0,0
166,4,0,0,0,0,0,0
167,0,0,0,0,0,0,0
167,1,0,0,0,0,0,0
167,2,0,0,0,0,0,0
167,3,0,0,0,0,0,0
167,4,0,0,0,0,0,0
168,0,0,0,0,0,0,0
168,1,0,0,0,0,0,0
168,2,0,0,0,0,0,0
168,3,0,0,0,0,0,0
168,4,0,0,0,0,0,0
169,0,0,0,0,0,0,0
169,1,0,0,0,0,0,0
169,2,0,0,0,0,0,0
169,3,0,0,0,0,0,0
169,4,0,0,0,0,0,0
170,0,1.2039,1.4809,-33.397,0,0,0
170,1,1.9831,1.6372,-47.931,0,0,0
170,2,2.3705,2.1848,-70.755,0,0,0
170,3,1.9801,3.0455,-106.74,0,0,0
170,4,0.49561,6.0178,-166.59,0,0,0
171,0,-0.59851,8.7557,-244.1,0,0,0
171,1,-2.0007,8.2076,-329.92,0,0,0
171,2,-6.9857,4.7645,-390.13,0,0,0
171,3,-15.721,3.2773,-403.63,0,0,0
171,4,-19.306,4.9198,-369.01,0,0,0
172,0,-20.083,6.1715,-342.02,0,0,0
172,1,-22.111,7.5796,-327.14,0,0,0
172,2,-23.67,9.4569,-348.26,0,0,0
172,3,-25.388,12.039,-354.85,0,0,0
172,4,-26.951,15.481,-343.78,0,0,0
173,0,-27.105,19.392,-315.74,0,0,0
173,1,-26.326,22.835,-293.94,0,0,0
173,2,-25.779,26.277,-296.71,0,0,0
173,3,-26.563,28.859,-312.28,0,0,0
173,4,-26.72,32.771,-311.95,0,0,0
174,0,-27.111,37.699,-305.71,0,0,0
174,1,-28.127,42.081,-290.13,0,0,0
174,2,-28.36,47.948,-293.59,0,0,0
174,3,-29.453,53.503,-310.91,0,0,0
174,4,-31.017,59.683,-325.44,0,0,0
175,0,-31.875,67.428,-336.17,0,0,0
175,1,-32.502,73.687,-327.16,0,0,0
175,2,-32.659,81.198,-323.37,0,0,0
175,3,-32.193,89.1,-322.31,0,0,0
175,4,-31.334,96.61,-333.05,0,0,0
176,0,-30.792,103.18,-345.87,0,0,0
176,1,-29.314,109.52,-344.13,0,0,0
176,2,-27.521,115.47,-332.02,0,0,0
176,3,-25.257,120.16,-327.85,0,0,0
176,4,-23.153,123.84,-332.7,0,0,0
177,0,-21.517,125.72,-345.17,0,0,0
177,1,-19.334,126.97,-352.43,0,0,0
177,2,-18.318,126.81,-352.09,0,0,0
177,3,-18.712,125.33,-348.28,0,0,0
177,4,-17.617,122.67,-349.65,0,0,0
178,0,-16.29,120.01,-358.32,0,0,0
178,1,-16.526,116.49,-378.37,0,0,0
178,2,-15.745,112.34,-397.06,0,0,0
178,3,-15.202,109.68,-415.05,0,0,0
178,4,-12.863,108.27,-425.43,0,0,0
179,0,-7.0883,106.24,-440.64,0,0,0
179,1,-1.3164,105.14,-452.07,0,0,0
179,2,4.0643,104.75,-473.51,0,0,0
179,3,10.383,106.94,-483.19,0,0,0
179,4,15.685,109.84,-491.5,0,0,0
180,0,20.517,113.91,-491.15,0,0,0
180,1,24.182,117.74,-498.07,0,0,0
180,2,25.661,122.04,-515.02,0,0,0
180,3,25.891,127.6,-528.52,0,0,0
180,4,25.577,133.54,-533.72,0,0,0
181,0,25.106,138.39,-536.83,0,0,0
181,1,23.857,142.85,-536.83,0,0,0
181,2,21.36,147.55,-545.48,0,0,0
181,3,18.707,152.55,-549.98,0,0,0
181,4,16.599,156.39,-547.57,0,0,0
182,0,15.034,159.36,-541.34,0,0,0
182,1,13.628,162.26,-535.8,0,0,0
182,2,12.537,163.9,-527.85,0,0,0
182,3,10.976,165.23,-528.19,0,0,0
182,4,10.195,166.01,-526.11,0,0,0
183,0,9.1044,165.38,-525.42,0,0,0
183,1,8.5584,164.44,-517.12,0,0,0
183,2,7.7777,162.88,-516.78,0,0,0
183,3,7.9355,161.08,-517.82,0,0,0
183,4,8.4059,159.05,-521.97,0,0,0
184,0,7.857,156.94,-522.67,0,0,0
184,1,9.1066,155.29,-521.63,0,0,0
184,2,9.7303,153.81,-517.82,0,0,0
184,3,10.276,152.56,-526.47,0,0,0
184,4,10.744,152.4,-528.54,0,0,0
185,0,11.21,152.32,-530.27,0,0,0
185,1,12.067,152.24,-538.93,0,0,0
